"Time stamp","Main 1   (kWh)","LCC Oxford Circus temperatures (℃)"
"2021-08-03 00:00","12.34","14.02"
"2021-08-03 01:00","12.35","13.26"
"2021-08-03 02:00","8.99","12.6"
"2021-08-03 03:00","8.27","12.29"
"2021-08-03 04:00","8.61","11.99"
"2021-08-03 05:00","7.08","11.76"
"2021-08-03 06:00","7.52","12.35"
"2021-08-03 07:00","6.99","13.6"
"2021-08-03 08:00","6.9","15.14"
"2021-08-03 09:00","7.1","16.9"
"2021-08-03 10:00","7.23","18.1"
"2021-08-03 11:00","7.74","19.46"
"2021-08-03 12:00","7.5","20.35"
"2021-08-03 13:00","6.72","20.44"
"2021-08-03 14:00","7.08","20.73"
"2021-08-03 15:00","19.33","20.61"
"2021-08-03 16:00","17.47","19.99"
"2021-08-03 17:00","18.2","19.35"
"2021-08-03 18:00","19.66","18.94"
"2021-08-03 19:00","22.86","18.14"
"2021-08-03 20:00","20.12","17.02"
"2021-08-03 21:00","23.43","15.95"
"2021-08-03 22:00","23.06","14.88"
"2021-08-03 23:00","24.22","14.15"
"2021-08-04 00:00","22.98","13.25"
"2021-08-04 01:00","16.18","12.69"
"2021-08-04 02:00","7.22","12.08"
"2021-08-04 03:00","6.88","11.63"
"2021-08-04 04:00","6.86","11.57"
"2021-08-04 05:00","7.55","11.52"
"2021-08-04 06:00","6.65","12.37"
"2021-08-04 07:00","7.07","14.12"
"2021-08-04 08:00","5.47","16.18"
"2021-08-04 09:00","5.78","17.76"
"2021-08-04 10:00","5.85","19.1"
"2021-08-04 11:00","6.07","20.06"
"2021-08-04 12:00","4.91","20.94"
"2021-08-04 13:00","5.68","21.58"
"2021-08-04 14:00","4.79","21.97"
"2021-08-04 15:00","14.84","21.83"
"2021-08-04 16:00","23.36","21.73"
"2021-08-04 17:00","21.89","21.73"
"2021-08-04 18:00","21.69","20.96"
"2021-08-04 19:00","23.37","20.0"
"2021-08-04 20:00","22.43","18.62"
"2021-08-04 21:00","25.73","17.23"
"2021-08-04 22:00","25.33","16.23"
"2021-08-04 23:00","25.68","15.47"
"2021-08-05 00:00","24.56","14.62"
"2021-08-05 01:00","24.5","14.0"
"2021-08-05 02:00","22.91","13.64"
"2021-08-05 03:00","18.71","13.42"
"2021-08-05 04:00","15.99","13.08"
"2021-08-05 05:00","15.88","12.63"
"2021-08-05 06:00","13.42","13.21"
"2021-08-05 07:00","13.28","15.26"
"2021-08-05 08:00","13.9","17.3"
"2021-08-05 09:00","12.72","18.65"
"2021-08-05 10:00","5.84","19.97"
"2021-08-05 11:00","5.43","20.33"
"2021-08-05 12:00","5.49","20.51"
"2021-08-05 13:00","6.62","20.31"
"2021-08-05 14:00","8.63","19.93"
"2021-08-05 15:00","22.16","18.87"
"2021-08-05 16:00","21.01","18.01"
"2021-08-05 17:00","23.38","17.15"
"2021-08-05 18:00","23.71","16.94"
"2021-08-05 19:00","23.36","16.88"
"2021-08-05 20:00","23.75","16.61"
"2021-08-05 21:00","23.65","16.29"
"2021-08-05 22:00","24.31","16.18"
"2021-08-05 23:00","24.09","16.08"
