"Time stamp","Main 1   (kWh)","LCC Oxford Circus temperatures (℃)"
"2021-08-06 00:00","23.63","16.07"
"2021-08-06 01:00","21.99","16.02"
"2021-08-06 02:00","18.72","15.79"
"2021-08-06 03:00","7.55","15.64"
"2021-08-06 04:00","7.09","15.59"
"2021-08-06 05:00","7.94","15.69"
"2021-08-06 06:00","7.28","15.91"
"2021-08-06 07:00","7.38","16.51"
"2021-08-06 08:00","7.24","17.26"
"2021-08-06 09:00","6.43","18.03"
"2021-08-06 10:00","6.13","18.81"
"2021-08-06 11:00","5.94","19.47"
"2021-08-06 12:00","5.79","20.16"
"2021-08-06 13:00","6.37","21.34"
"2021-08-06 14:00","13.18","21.61"
"2021-08-06 15:00","21.95","19.79"
"2021-08-06 16:00","21.88","18.91"
"2021-08-06 17:00","24.73","17.86"
"2021-08-06 18:00","26.76","17.58"
"2021-08-06 19:00","26.76","16.67"
"2021-08-06 20:00","25.68","15.65"
"2021-08-06 21:00","26.87","14.98"
"2021-08-06 22:00","25.62","14.46"
"2021-08-06 23:00","25.37","14.15"
"2021-08-07 00:00","25.07","13.79"
"2021-08-07 01:00","25.41","13.74"
"2021-08-07 02:00","17.07","13.93"
"2021-08-07 03:00","6.11","14.11"
"2021-08-07 04:00","6.74","14.17"
"2021-08-07 05:00","6.8","14.03"
"2021-08-07 06:00","7.26","14.04"
"2021-08-07 07:00","6.07","14.11"
"2021-08-07 08:00","6.27","14.41"
"2021-08-07 09:00","5.97","14.95"
"2021-08-07 10:00","7.71","15.62"
"2021-08-07 11:00","5.91","16.53"
"2021-08-07 12:00","16.29","18.0"
"2021-08-07 13:00","21.98","18.64"
"2021-08-07 14:00","24.56","19.38"
"2021-08-07 15:00","25.68","19.19"
"2021-08-07 16:00","24.57","18.88"
"2021-08-07 17:00","23.98","18.5"
"2021-08-07 18:00","24.32","17.99"
"2021-08-07 19:00","23.96","17.36"
"2021-08-07 20:00","23.92","16.5"
"2021-08-07 21:00","24.51","15.87"
"2021-08-07 22:00","25.12","15.58"
"2021-08-07 23:00","25.26","15.41"
"2021-08-08 00:00","23.4","14.99"
"2021-08-08 01:00","23.15","14.37"
"2021-08-08 02:00","22.2","14.06"
"2021-08-08 03:00","23.71","13.59"
"2021-08-08 04:00","17.21","13.38"
"2021-08-08 05:00","8.67","13.35"
"2021-08-08 06:00","7.82","13.84"
"2021-08-08 07:00","7.89","15.13"
"2021-08-08 08:00","6.48","15.39"
"2021-08-08 09:00","7.02","14.89"
"2021-08-08 10:00","6.62","15.32"
"2021-08-08 11:00","7.4","15.84"
"2021-08-08 12:00","6.38","16.95"
"2021-08-08 13:00","14.87","18.27"
"2021-08-08 14:00","20.32","19.15"
"2021-08-08 15:00","18.95","18.69"
"2021-08-08 16:00","18.41","17.93"
"2021-08-08 17:00","21.17","18.19"
"2021-08-08 18:00","21.91","17.98"
"2021-08-08 19:00","21.77","17.35"
"2021-08-08 20:00","18.78","16.16"
"2021-08-08 21:00","19.01","15.11"
"2021-08-08 22:00","20.67","14.38"
"2021-08-08 23:00","11.47","13.98"
