"Time stamp","Main 1   (kWh)","LCC Oxford Circus temperatures (℃)"
"2021-08-12 00:00","21.58","16.02"
"2021-08-12 01:00","22.04","16.03"
"2021-08-12 02:00","14.96","16.16"
"2021-08-12 03:00","10.73","16.34"
"2021-08-12 04:00","10.37","16.57"
"2021-08-12 05:00","10.06","16.66"
"2021-08-12 06:00","10.32","16.77"
"2021-08-12 07:00","10.03","17.11"
"2021-08-12 08:00","12.11","17.29"
"2021-08-12 09:00","11.46","18.29"
"2021-08-12 10:00","19.32","19.47"
"2021-08-12 11:00","18.16","20.33"
"2021-08-12 12:00","18.11","20.42"
"2021-08-12 13:00","17.4","20.8"
"2021-08-12 14:00","17.2","20.85"
"2021-08-12 15:00","17.79","20.97"
"2021-08-12 16:00","19.4","21.59"
"2021-08-12 17:00","20.16","21.72"
"2021-08-12 18:00","22.5","20.75"
"2021-08-12 19:00","22.58","19.96"
"2021-08-12 20:00","23.67","18.55"
"2021-08-12 21:00","23.43","17.44"
"2021-08-12 22:00","23.05","16.61"
"2021-08-12 23:00","24.13","15.75"
"2021-08-13 00:00","23.63","15.05"
"2021-08-13 01:00","22.38","14.38"
"2021-08-13 02:00","19.35","13.87"
"2021-08-13 03:00","17.41","13.69"
"2021-08-13 04:00","16.63","13.61"
"2021-08-13 05:00","16.82","13.67"
"2021-08-13 06:00","19.53","13.98"
"2021-08-13 07:00","15.88","14.71"
"2021-08-13 08:00","16.49","15.79"
"2021-08-13 09:00","15.59","17.27"
"2021-08-13 10:00","15.15","18.06"
"2021-08-13 11:00","14.5","18.96"
"2021-08-13 12:00","14.37","19.85"
"2021-08-13 13:00","14.66","20.98"
"2021-08-13 14:00","20.71","21.59"
"2021-08-13 15:00","22.84","21.39"
"2021-08-13 16:00","21.22","21.73"
"2021-08-13 17:00","21.67","21.42"
"2021-08-13 18:00","23.43","20.9"
"2021-08-13 19:00","23.24","20.0"
"2021-08-13 20:00","23.85","18.9"
"2021-08-13 21:00","25.73","17.95"
"2021-08-13 22:00","25.72","17.29"
"2021-08-13 23:00","24.61","16.95"
"2021-08-14 00:00","23.57","16.21"
"2021-08-14 01:00","23.49","15.68"
"2021-08-14 02:00","19.42","15.16"
"2021-08-14 03:00","18.84","14.83"
"2021-08-14 04:00","14.09","14.43"
"2021-08-14 05:00","7.63","14.19"
"2021-08-14 06:00","8.49","14.77"
"2021-08-14 07:00","6.92","15.95"
"2021-08-14 08:00","7.03","17.72"
"2021-08-14 09:00","6.74","19.08"
"2021-08-14 10:00","6.54","20.26"
"2021-08-14 11:00","13.75","21.13"
"2021-08-14 12:00","21.95","21.99"
"2021-08-14 13:00","24.68","22.98"
"2021-08-14 14:00","20.92","23.65"
"2021-08-14 15:00","17.55","24.08"
"2021-08-14 16:00","23.51","24.03"
"2021-08-14 17:00","22.95","23.62"
"2021-08-14 18:00","25.85","22.63"
"2021-08-14 19:00","26.38","21.1"
"2021-08-14 20:00","26.0","19.66"
"2021-08-14 21:00","26.06","18.59"
"2021-08-14 22:00","26.67","17.79"
"2021-08-14 23:00","26.97","17.23"
