"Time stamp","Main 1   (kWh)","LCC Oxford Circus temperatures (℃)"
"2021-07-31 00:00","27.67","14.64"
"2021-07-31 01:00","26.7","14.14"
"2021-07-31 02:00","26.07","13.79"
"2021-07-31 03:00","18.88","13.48"
"2021-07-31 04:00","9.87","13.59"
"2021-07-31 05:00","8.43","13.81"
"2021-07-31 06:00","8.53","14.25"
"2021-07-31 07:00","10.13","15.24"
"2021-07-31 08:00","8.07","16.37"
"2021-07-31 09:00","8.0","17.47"
"2021-07-31 10:00","8.71","18.26"
"2021-07-31 11:00","10.39","19.33"
"2021-07-31 12:00","21.17","20.19"
"2021-07-31 13:00","23.97","19.47"
"2021-07-31 14:00","26.92","18.49"
"2021-07-31 15:00","26.89","18.4"
"2021-07-31 16:00","22.24","18.25"
"2021-07-31 17:00","24.07","18.25"
"2021-07-31 18:00","26.65","17.8"
"2021-07-31 19:00","26.28","17.17"
"2021-07-31 20:00","26.45","16.26"
"2021-07-31 21:00","25.52","15.6"
"2021-07-31 22:00","25.61","15.38"
"2021-07-31 23:00","26.16","15.21"
"2021-08-01 00:00","25.89","15.15"
"2021-08-01 01:00","25.46","15.05"
"2021-08-01 02:00","25.57","14.92"
"2021-08-01 03:00","21.77","14.7"
"2021-08-01 04:00","20.0","14.5"
"2021-08-01 05:00","16.74","14.4"
"2021-08-01 06:00","6.94","14.75"
"2021-08-01 07:00","8.05","15.11"
"2021-08-01 08:00","8.65","15.83"
"2021-08-01 09:00","9.54","16.65"
"2021-08-01 10:00","7.58","17.61"
"2021-08-01 11:00","7.57","18.54"
"2021-08-01 12:00","6.98","19.57"
"2021-08-01 13:00","13.91","19.89"
"2021-08-01 14:00","21.84","19.77"
"2021-08-01 15:00","18.25","19.47"
"2021-08-01 16:00","18.45","18.82"
"2021-08-01 17:00","18.42","18.81"
"2021-08-01 18:00","19.44","18.15"
"2021-08-01 19:00","17.77","17.34"
"2021-08-01 20:00","18.01","16.22"
"2021-08-01 21:00","18.22","15.61"
"2021-08-01 22:00","17.93","14.74"
"2021-08-01 23:00","17.3","13.76"
"2021-08-02 00:00","17.1","13.18"
"2021-08-02 01:00","16.41","12.83"
"2021-08-02 02:00","17.67","12.67"
"2021-08-02 03:00","6.04","12.44"
"2021-08-02 04:00","5.76","12.23"
"2021-08-02 05:00","5.03","12.26"
"2021-08-02 06:00","5.62","12.66"
"2021-08-02 07:00","4.85","14.24"
"2021-08-02 08:00","5.52","15.94"
"2021-08-02 09:00","5.5","17.08"
"2021-08-02 10:00","6.2","18.36"
"2021-08-02 11:00","7.71","19.21"
"2021-08-02 12:00","19.73","19.3"
"2021-08-02 13:00","12.35","18.78"
"2021-08-02 14:00","19.35","18.28"
"2021-08-02 15:00","20.36","17.86"
"2021-08-02 16:00","15.06","17.9"
"2021-08-02 17:00","8.57","17.58"
"2021-08-02 18:00","10.91","17.0"
"2021-08-02 19:00","9.12","16.56"
"2021-08-02 20:00","10.55","15.96"
"2021-08-02 21:00","12.6","15.37"
"2021-08-02 22:00","11.75","14.97"
"2021-08-02 23:00","12.04","14.59"
