"Time stamp","Main 1   (kWh)","LCC Oxford Circus temperatures (℃)"
"2021-08-15 00:00","26.96","16.81"
"2021-08-15 01:00","25.22","16.29"
"2021-08-15 02:00","23.66","15.76"
"2021-08-15 03:00","20.09","15.03"
"2021-08-15 04:00","18.28","14.6"
"2021-08-15 05:00","19.29","14.21"
"2021-08-15 06:00","20.0","14.85"
"2021-08-15 07:00","17.66","15.83"
"2021-08-15 08:00","17.51","17.13"
"2021-08-15 09:00","16.59","18.67"
"2021-08-15 10:00","17.64","18.99"
"2021-08-15 11:00","6.97","20.09"
"2021-08-15 12:00","8.03","22.06"
"2021-08-15 13:00","7.74","22.79"
"2021-08-15 14:00","19.5","22.68"
"2021-08-15 15:00","19.72","22.48"
"2021-08-15 16:00","21.97","21.62"
"2021-08-15 17:00","21.47","20.64"
"2021-08-15 18:00","19.19","19.63"
"2021-08-15 19:00","19.43","18.59"
"2021-08-15 20:00","19.2","17.98"
"2021-08-15 21:00","20.28","17.5"
"2021-08-15 22:00","20.95","16.96"
"2021-08-15 23:00","21.5","16.69"
"2021-08-16 00:00","16.53","16.6"
"2021-08-16 01:00","17.52","15.98"
"2021-08-16 02:00","16.2","15.24"
"2021-08-16 03:00","16.84","14.62"
"2021-08-16 04:00","16.38","13.78"
"2021-08-16 05:00","18.08","13.05"
"2021-08-16 06:00","17.59","12.96"
"2021-08-16 07:00","17.33","13.97"
"2021-08-16 08:00","15.4","14.92"
"2021-08-16 09:00","17.0","16.14"
"2021-08-16 10:00","13.64","17.23"
"2021-08-16 11:00","6.07","17.97"
"2021-08-16 12:00","6.88","17.72"
"2021-08-16 13:00","7.0","17.53"
"2021-08-16 14:00","6.87","17.89"
"2021-08-16 15:00","7.64","18.41"
"2021-08-16 16:00","8.57","18.22"
"2021-08-16 17:00","9.52","18.21"
"2021-08-16 18:00","9.37","17.83"
"2021-08-16 19:00","22.37","16.85"
"2021-08-16 20:00","24.66","15.67"
"2021-08-16 21:00","21.96","14.39"
"2021-08-16 22:00","19.95","13.77"
"2021-08-16 23:00","22.1","12.81"
"2021-08-17 00:00","18.36","12.17"
"2021-08-17 01:00","6.93","11.8"
"2021-08-17 02:00","6.78","11.44"
"2021-08-17 03:00","5.64","11.86"
"2021-08-17 04:00","5.06","12.42"
"2021-08-17 05:00","5.91","12.85"
"2021-08-17 06:00","7.38","13.42"
"2021-08-17 07:00","5.61","13.94"
"2021-08-17 08:00","4.95","14.38"
"2021-08-17 09:00","7.12","15.34"
"2021-08-17 10:00","5.25","16.03"
"2021-08-17 11:00","5.42","16.67"
"2021-08-17 12:00","4.81","17.11"
"2021-08-17 13:00","6.41","17.33"
"2021-08-17 14:00","5.54","17.69"
"2021-08-17 15:00","19.88","18.07"
"2021-08-17 16:00","20.69","18.05"
"2021-08-17 17:00","20.07","17.97"
"2021-08-17 18:00","21.02","17.9"
"2021-08-17 19:00","18.64","17.71"
"2021-08-17 20:00","21.39","17.42"
"2021-08-17 21:00","21.51","17.28"
"2021-08-17 22:00","22.3","17.11"
"2021-08-17 23:00","22.03","16.69"
