"Time stamp","Main 1   (kWh)","LCC Oxford Circus temperatures (℃)"
"2021-08-09 00:00","11.89","13.79"
"2021-08-09 01:00","12.24","13.49"
"2021-08-09 02:00","8.13","13.37"
"2021-08-09 03:00","6.7","13.64"
"2021-08-09 04:00","7.12","13.86"
"2021-08-09 05:00","6.37","13.85"
"2021-08-09 06:00","7.17","13.73"
"2021-08-09 07:00","6.88","14.07"
"2021-08-09 08:00","6.79","14.49"
"2021-08-09 09:00","18.57","15.68"
"2021-08-09 10:00","19.57","17.25"
"2021-08-09 11:00","19.5","19.01"
"2021-08-09 12:00","17.8","20.28"
"2021-08-09 13:00","18.35","20.82"
"2021-08-09 14:00","9.65","20.18"
"2021-08-09 15:00","16.24","19.88"
"2021-08-09 16:00","15.67","18.87"
"2021-08-09 17:00","14.81","16.9"
"2021-08-09 18:00","16.02","16.1"
"2021-08-09 19:00","17.22","15.9"
"2021-08-09 20:00","15.63","15.47"
"2021-08-09 21:00","14.5","15.41"
"2021-08-09 22:00","14.83","15.22"
"2021-08-09 23:00","16.01","14.85"
"2021-08-10 00:00","15.83","14.44"
"2021-08-10 01:00","16.72","14.13"
"2021-08-10 02:00","9.6","13.94"
"2021-08-10 03:00","5.86","13.79"
"2021-08-10 04:00","5.39","13.51"
"2021-08-10 05:00","4.44","13.19"
"2021-08-10 06:00","6.94","13.41"
"2021-08-10 07:00","6.71","14.22"
"2021-08-10 08:00","8.33","15.15"
"2021-08-10 09:00","5.8","16.94"
"2021-08-10 10:00","4.9","18.62"
"2021-08-10 11:00","5.47","19.96"
"2021-08-10 12:00","5.33","21.41"
"2021-08-10 13:00","11.02","22.03"
"2021-08-10 14:00","14.93","22.36"
"2021-08-10 15:00","21.05","22.94"
"2021-08-10 16:00","19.43","22.86"
"2021-08-10 17:00","19.59","22.51"
"2021-08-10 18:00","22.11","21.99"
"2021-08-10 19:00","23.31","20.7"
"2021-08-10 20:00","23.92","19.29"
"2021-08-10 21:00","14.86","17.9"
"2021-08-10 22:00","12.87","16.88"
"2021-08-10 23:00","14.7","16.03"
"2021-08-11 00:00","16.19","15.42"
"2021-08-11 01:00","16.59","14.59"
"2021-08-11 02:00","16.59","14.05"
"2021-08-11 03:00","8.56","13.28"
"2021-08-11 04:00","5.72","12.94"
"2021-08-11 05:00","5.46","12.91"
"2021-08-11 06:00","4.74","13.2"
"2021-08-11 07:00","5.82","14.3"
"2021-08-11 08:00","4.7","16.56"
"2021-08-11 09:00","5.46","18.9"
"2021-08-11 10:00","4.56","20.59"
"2021-08-11 11:00","5.52","21.77"
"2021-08-11 12:00","4.6","22.57"
"2021-08-11 13:00","20.37","22.91"
"2021-08-11 14:00","21.24","23.5"
"2021-08-11 15:00","20.84","23.41"
"2021-08-11 16:00","22.05","23.19"
"2021-08-11 17:00","22.2","22.56"
"2021-08-11 18:00","22.0","21.29"
"2021-08-11 19:00","23.11","19.71"
"2021-08-11 20:00","23.43","18.3"
"2021-08-11 21:00","23.79","17.06"
"2021-08-11 22:00","24.12","16.42"
"2021-08-11 23:00","23.27","16.14"
