"Time stamp","Main 1   (kWh)","Main 1 L1   (kWh)","Main 1 L2   (kWh)","Main 1 L3   (kWh)"
"2021-08-09 00:00","11.89","3.62","1.78","6.49"
"2021-08-09 01:00","12.24","3.86","1.48","6.89"
"2021-08-09 02:00","8.13","3.64","0.8262","3.66"
"2021-08-09 03:00","6.7","3.55","0.8237","2.32"
"2021-08-09 04:00","7.12","3.42","0.8212","2.88"
"2021-08-09 05:00","6.37","3.48","0.8154","2.07"
"2021-08-09 06:00","7.17","3.61","0.8105","2.75"
"2021-08-09 07:00","6.88","3.48","0.8123","2.59"
"2021-08-09 08:00","6.79","3.54","0.9976","2.25"
"2021-08-09 09:00","18.57","9.55","3.16","5.87"
"2021-08-09 10:00","19.57","9.68","3.63","6.26"
"2021-08-09 11:00","19.5","8.74","3.65","7.11"
"2021-08-09 12:00","17.8","9.19","3.63","4.98"
"2021-08-09 13:00","18.35","8.07","3.77","6.5"
"2021-08-09 14:00","9.65","3.4","2.13","4.11"
"2021-08-09 15:00","16.24","8.36","2.9","4.98"
"2021-08-09 16:00","15.67","8.53","2.6","4.54"
"2021-08-09 17:00","14.81","7.69","2.08","5.04"
"2021-08-09 18:00","16.02","7.78","2.08","6.16"
"2021-08-09 19:00","17.22","7.73","2.07","7.42"
"2021-08-09 20:00","15.63","7.7","2.08","5.85"
"2021-08-09 21:00","14.5","7.78","2.06","4.66"
"2021-08-09 22:00","14.83","7.87","2.06","4.9"
"2021-08-09 23:00","16.01","8.11","2.09","5.81"
"2021-08-10 00:00","15.83","7.54","2.09","6.2"
"2021-08-10 01:00","16.72","7.72","1.99","7.01"
"2021-08-10 02:00","9.6","5.72","1.59","2.3"
"2021-08-10 03:00","5.86","3.51","1.12","1.23"
"2021-08-10 04:00","5.39","2.05","1.12","2.21"
"2021-08-10 05:00","4.44","1.8","1.12","1.51"
"2021-08-10 06:00","6.94","2.01","1.55","3.38"
"2021-08-10 07:00","6.71","2.01","2.07","2.62"
"2021-08-10 08:00","8.33","2.11","1.95","4.26"
"2021-08-10 09:00","5.8","1.97","1.35","2.47"
"2021-08-10 10:00","4.9","2.01","1.14","1.75"
"2021-08-10 11:00","5.47","2.47","1.13","1.87"
"2021-08-10 12:00","5.33","1.98","1.17","2.18"
"2021-08-10 13:00","11.02","5.37","3.06","2.59"
"2021-08-10 14:00","14.93","7.49","3.17","4.27"
"2021-08-10 15:00","21.05","11.15","3.17","6.73"
"2021-08-10 16:00","19.43","10.67","1.98","6.78"
"2021-08-10 17:00","19.59","10.52","1.98","7.1"
"2021-08-10 18:00","22.11","10.24","2.02","9.85"
"2021-08-10 19:00","23.31","10.4","2.36","10.54"
"2021-08-10 20:00","23.92","10.01","3.34","10.57"
"2021-08-10 21:00","14.86","7.8","1.92","5.14"
"2021-08-10 22:00","12.87","7.8","2.04","3.02"
"2021-08-10 23:00","14.7","7.61","2.05","5.04"
"2021-08-11 00:00","16.19","7.5","2.08","6.6"
"2021-08-11 01:00","16.59","7.92","2.08","6.59"
"2021-08-11 02:00","16.59","7.83","2.1","6.66"
"2021-08-11 03:00","8.56","4.0","1.04","3.52"
"2021-08-11 04:00","5.72","3.26","1.1","1.36"
"2021-08-11 05:00","5.46","2.13","1.12","2.22"
"2021-08-11 06:00","4.74","1.95","1.36","1.44"
"2021-08-11 07:00","5.82","2.22","1.37","2.24"
"2021-08-11 08:00","4.7","2.02","1.12","1.57"
"2021-08-11 09:00","5.46","2.08","1.12","2.26"
"2021-08-11 10:00","4.56","2.08","0.9892","1.49"
"2021-08-11 11:00","5.52","2.12","1.12","2.28"
"2021-08-11 12:00","4.6","1.95","1.16","1.49"
"2021-08-11 13:00","20.37","10.01","3.77","6.59"
"2021-08-11 14:00","21.24","9.55","3.83","7.86"
"2021-08-11 15:00","20.84","10.33","4.09","6.42"
"2021-08-11 16:00","22.05","10.47","3.99","7.6"
"2021-08-11 17:00","22.2","10.64","3.74","7.82"
"2021-08-11 18:00","22.0","10.03","2.07","9.89"
"2021-08-11 19:00","23.11","10.29","2.0","10.82"
"2021-08-11 20:00","23.43","10.45","1.99","10.99"
"2021-08-11 21:00","23.79","10.79","2.0","11.0"
"2021-08-11 22:00","24.12","10.81","2.0","11.31"
"2021-08-11 23:00","23.27","10.6","1.89","10.77"
