"Time stamp","Main 1   (A)","Main 1 L1   (A)","Main 1 L2   (A)","Main 1 L3   (A)"
"2021-08-21 00:00","35.52","43.56","16.95","46.07"
"2021-08-21 00:05","33.49","38.58","18.28","43.61"
"2021-08-21 00:10","34.43","41.35","16.17","45.77"
"2021-08-21 00:15","35.05","48.06","9.41","47.7"
"2021-08-21 00:20","32.19","42.14","9.37","45.04"
"2021-08-21 00:25","31.21","35.53","12.17","45.92"
"2021-08-21 00:30","35.13","38.37","17.49","49.54"
"2021-08-21 00:35","37.8","50.34","16.23","46.83"
"2021-08-21 00:40","31.8","36.96","13.55","44.88"
"2021-08-21 00:45","32.3","37.24","16.15","43.52"
"2021-08-21 00:50","35.34","39.41","18.65","47.97"
"2021-08-21 00:55","35.5","48.7","10.63","47.18"
"2021-08-21 01:00","33.02","45.29","8.64","45.11"
"2021-08-21 01:05","26.42","37.27","8.6","33.38"
"2021-08-21 01:10","28.56","37.6","8.6","39.48"
"2021-08-21 01:15","33.4","44.77","8.57","46.86"
"2021-08-21 01:20","34.62","48.15","8.61","47.1"
"2021-08-21 01:25","30.22","40.24","8.6","41.81"
"2021-08-21 01:30","28.86","38.06","8.59","39.91"
"2021-08-21 01:35","31.86","43.39","8.62","43.57"
"2021-08-21 01:40","34.0","46.7","8.64","46.65"
"2021-08-21 01:45","31.55","40.78","8.61","45.26"
"2021-08-21 01:50","28.53","35.36","8.58","41.65"
"2021-08-21 01:55","28.68","36.86","8.49","40.69"
"2021-08-21 02:00","32.84","44.9","8.2","45.43"
"2021-08-21 02:05","32.06","41.1","8.63","46.46"
"2021-08-21 02:10","28.94","36.6","8.59","41.63"
"2021-08-21 02:15","28.42","38.34","8.59","38.34"
"2021-08-21 02:20","32.07","46.3","8.6","41.3"
"2021-08-21 02:25","34.3","49.58","8.52","44.79"
"2021-08-21 02:30","13.21","21.28","4.03","14.33"
"2021-08-21 02:35","12.36","19.34","3.52","14.2"
"2021-08-21 02:40","12.8","20.68","3.52","14.21"
"2021-08-21 02:45","12.98","20.88","3.84","14.21"
"2021-08-21 02:50","12.92","19.65","4.72","14.39"
"2021-08-21 02:55","12.86","19.4","4.72","14.47"
"2021-08-21 03:00","12.93","19.62","4.72","14.45"
"2021-08-21 03:05","13.03","20.02","4.72","14.36"
"2021-08-21 03:10","13.38","21.28","4.72","14.15"
"2021-08-21 03:15","12.87","19.76","4.72","14.12"
"2021-08-21 03:20","12.32","18.11","4.72","14.14"
"2021-08-21 03:25","13.17","20.63","4.76","14.12"
"2021-08-21 03:30","13.77","22.52","4.76","14.05"
"2021-08-21 03:35","12.09","17.44","4.76","14.05"
"2021-08-21 03:40","11.57","15.92","4.76","14.04"
"2021-08-21 03:45","12.74","19.35","4.76","14.11"
"2021-08-21 03:50","14.13","23.18","4.78","14.43"
"2021-08-21 03:55","12.72","18.98","4.79","14.39"
"2021-08-21 04:00","12.18","17.39","4.76","14.38"
"2021-08-21 04:05","12.64","18.95","4.78","14.2"
"2021-08-21 04:10","9.9","19.55","4.76","5.38"
"2021-08-21 04:15","7.93","15.81","4.76","3.22"
"2021-08-21 04:20","9.67","17.78","4.76","6.48"
"2021-08-21 04:25","14.13","23.51","4.76","14.13"
"2021-08-21 04:30","13.82","22.58","4.76","14.13"
"2021-08-21 04:35","11.88","16.78","4.76","14.1"
"2021-08-21 04:40","12.59","18.9","4.76","14.11"
"2021-08-21 04:45","9.41","19.78","4.76","3.7"
"2021-08-21 04:50","9.12","19.16","4.76","3.44"
"2021-08-21 04:55","9.86","17.41","4.76","7.42"
"2021-08-21 05:00","13.33","20.8","4.76","14.45"
"2021-08-21 05:05","13.4","21.27","4.76","14.16"
"2021-08-21 05:10","12.29","18.02","4.76","14.1"
"2021-08-21 05:15","13.13","19.1","6.16","14.12"
"2021-08-21 05:20","11.48","20.41","7.52","6.5"
"2021-08-21 05:25","9.81","18.69","7.54","3.2"
"2021-08-21 05:30","9.72","18.36","7.56","3.24"
"2021-08-21 05:35","13.39","20.32","7.56","12.3"
"2021-08-21 05:40","13.19","17.9","7.56","14.1"
"2021-08-21 05:45","13.49","18.55","7.57","14.35"
"2021-08-21 05:50","14.36","21.08","7.56","14.46"
"2021-08-21 05:55","12.93","20.45","7.56","10.77"
"2021-08-21 06:00","10.11","19.33","7.56","3.44"
"2021-08-21 06:05","13.03","17.75","7.68","13.64"
"2021-08-21 06:10","16.14","19.36","7.68","21.4"
"2021-08-21 06:15","16.09","15.91","7.68","24.67"
"2021-08-21 06:20","13.5","18.74","7.68","14.09"
"2021-08-21 06:25","14.98","23.15","7.68","14.11"
"2021-08-21 06:30","12.16","17.96","7.68","10.84"
"2021-08-21 06:35","9.82","18.45","7.68","3.33"
"2021-08-21 06:40","10.23","19.66","7.68","3.33"
