"Time stamp","Main 1   (kWh)","Main 1 L1   (kWh)","Main 1 L2   (kWh)","Main 1 L3   (kWh)"
"2021-08-18 00:00","21.93","9.73","1.96","10.23"
"2021-08-18 01:00","22.75","10.07","1.96","10.73"
"2021-08-18 02:00","20.62","10.58","1.32","8.73"
"2021-08-18 03:00","16.66","9.41","0.9858","6.26"
"2021-08-18 04:00","14.42","7.63","1.1","5.69"
"2021-08-18 05:00","15.54","7.61","1.7","6.23"
"2021-08-18 06:00","16.27","8.13","1.69","6.44"
"2021-08-18 07:00","15.34","7.52","1.35","6.47"
"2021-08-18 08:00","14.78","7.51","1.06","6.2"
"2021-08-18 09:00","13.35","6.69","1.63","5.02"
"2021-08-18 10:00","12.66","6.01","3.58","3.07"
"2021-08-18 11:00","12.49","5.87","3.91","2.7"
"2021-08-18 12:00","12.6","5.75","3.85","3.0"
"2021-08-18 13:00","13.14","6.53","3.83","2.78"
"2021-08-18 14:00","13.55","6.51","3.84","3.2"
"2021-08-18 15:00","15.72","7.18","3.82","4.72"
"2021-08-18 16:00","18.32","7.78","3.75","6.79"
"2021-08-18 17:00","19.04","7.87","3.9","7.28"
"2021-08-18 18:00","18.72","7.61","3.82","7.3"
"2021-08-18 19:00","19.53","8.36","3.83","7.34"
"2021-08-18 20:00","18.69","8.26","3.8","6.64"
"2021-08-18 21:00","18.88","8.12","3.84","6.92"
"2021-08-18 22:00","25.82","11.38","3.81","10.63"
"2021-08-18 23:00","26.75","11.74","3.7","11.31"
"2021-08-19 00:00","25.05","10.7","3.86","10.5"
"2021-08-19 01:00","25.0","10.13","4.11","10.76"
"2021-08-19 02:00","20.82","10.51","3.26","7.05"
"2021-08-19 03:00","19.98","10.57","3.66","5.75"
"2021-08-19 04:00","17.29","10.55","3.27","3.47"
"2021-08-19 05:00","19.14","10.37","2.49","6.28"
"2021-08-19 06:00","18.21","9.91","1.92","6.38"
"2021-08-19 07:00","17.8","9.45","1.58","6.77"
"2021-08-19 08:00","14.57","8.04","1.11","5.41"
"2021-08-19 09:00","14.01","8.13","1.16","4.73"
"2021-08-19 10:00","7.38","2.8","1.86","2.72"
"2021-08-19 11:00","8.92","3.62","1.9","3.39"
"2021-08-19 12:00","7.05","2.58","1.84","2.63"
"2021-08-19 13:00","6.36","1.49","1.94","2.93"
"2021-08-19 14:00","11.36","4.44","2.61","4.31"
"2021-08-19 15:00","22.82","10.14","3.83","8.86"
"2021-08-19 16:00","19.44","9.14","3.57","6.73"
"2021-08-19 17:00","18.97","8.48","1.89","8.6"
"2021-08-19 18:00","21.54","9.97","1.83","9.74"
"2021-08-19 19:00","20.82","10.12","1.93","8.77"
"2021-08-19 20:00","23.24","10.66","1.9","10.68"
"2021-08-19 21:00","23.92","10.78","1.89","11.24"
"2021-08-19 22:00","24.21","10.91","1.85","11.44"
"2021-08-19 23:00","24.13","10.82","1.91","11.4"
"2021-08-20 00:00","23.4","10.32","1.87","11.21"
"2021-08-20 01:00","23.37","10.32","1.88","11.16"
"2021-08-20 02:00","20.27","10.15","1.13","9.0"
"2021-08-20 03:00","17.9","10.23","1.09","6.57"
"2021-08-20 04:00","17.44","9.79","1.08","6.57"
"2021-08-20 05:00","16.26","8.1","1.44","6.72"
"2021-08-20 06:00","15.83","7.61","1.68","6.53"
"2021-08-20 07:00","14.7","7.12","1.14","6.44"
"2021-08-20 08:00","15.03","7.31","1.1","6.62"
"2021-08-20 09:00","15.44","7.71","1.1","6.62"
"2021-08-20 10:00","15.26","7.73","1.08","6.44"
"2021-08-20 11:00","15.65","7.96","1.08","6.6"
"2021-08-20 12:00","16.1","8.77","1.08","6.24"
"2021-08-20 13:00","17.16","9.14","1.57","6.45"
"2021-08-20 14:00","20.61","9.22","3.42","7.98"
"2021-08-20 15:00","19.18","10.11","1.97","7.11"
"2021-08-20 16:00","22.05","10.2","3.6","8.25"
"2021-08-20 17:00","18.42","8.17","3.03","7.22"
"2021-08-20 18:00","18.37","7.41","3.7","7.26"
"2021-08-20 19:00","18.69","7.79","3.59","7.3"
"2021-08-20 20:00","18.77","8.16","3.72","6.9"
"2021-08-20 21:00","22.72","9.65","3.73","9.35"
"2021-08-20 22:00","27.33","11.57","3.79","11.96"
"2021-08-20 23:00","26.73","10.86","4.15","11.72"
