"Time stamp","Main 1   (A)","Main 1 L1   (A)","Main 1 L2   (A)","Main 1 L3   (A)"
"2021-08-06 00:00","33.64","44.0","8.65","48.28"
"2021-08-06 00:05","31.56","41.59","8.61","44.47"
"2021-08-06 00:10","30.79","40.17","8.59","43.62"
"2021-08-06 00:15","31.21","38.66","8.54","46.44"
"2021-08-06 00:20","32.69","43.52","8.56","45.99"
"2021-08-06 00:25","33.52","46.52","8.57","45.48"
"2021-08-06 00:30","31.51","40.43","8.56","45.54"
"2021-08-06 00:35","27.34","38.8","8.55","34.66"
"2021-08-06 00:40","31.43","44.07","8.56","41.67"
"2021-08-06 00:45","33.81","46.47","8.57","46.4"
"2021-08-06 00:50","32.29","42.41","8.56","45.88"
"2021-08-06 00:55","32.34","42.02","8.56","46.45"
"2021-08-06 01:00","32.54","42.46","8.56","46.59"
"2021-08-06 01:05","33.14","45.26","8.6","45.58"
"2021-08-06 01:10","32.01","42.9","8.59","44.53"
"2021-08-06 01:15","31.6","39.89","8.56","46.35"
"2021-08-06 01:20","31.44","39.46","8.56","46.29"
"2021-08-06 01:25","29.83","44.42","7.51","37.55"
"2021-08-06 01:30","28.84","46.16","7.44","32.91"
"2021-08-06 01:35","27.48","42.17","7.44","32.84"
"2021-08-06 01:40","25.95","37.31","7.41","33.11"
"2021-08-06 01:45","25.73","37.12","7.63","32.45"
"2021-08-06 01:50","27.73","41.91","8.63","32.66"
"2021-08-06 01:55","27.67","42.28","8.61","32.11"
"2021-08-06 02:00","26.42","38.41","8.6","32.24"
"2021-08-06 02:05","25.84","37.04","8.58","31.91"
"2021-08-06 02:10","28.84","45.47","8.6","32.45"
"2021-08-06 02:15","28.31","43.93","8.56","32.44"
"2021-08-06 02:20","27.85","42.7","8.54","32.3"
"2021-08-06 02:25","27.66","42.24","8.53","32.22"
"2021-08-06 02:30","27.28","41.01","8.53","32.31"
"2021-08-06 02:35","29.61","47.95","8.54","32.34"
"2021-08-06 02:40","28.91","45.82","8.52","32.38"
"2021-08-06 02:45","26.34","41.54","8.52","28.96"
"2021-08-06 02:50","20.13","34.59","7.54","18.25"
"2021-08-06 02:55","9.01","17.03","6.53","3.48"
"2021-08-06 03:00","9.05","17.29","6.58","3.3"
"2021-08-06 03:05","12.72","18.15","6.57","13.45"
"2021-08-06 03:10","13.13","18.66","6.59","14.15"
"2021-08-06 03:15","11.77","14.67","6.57","14.07"
"2021-08-06 03:20","12.63","16.98","6.58","14.33"
"2021-08-06 03:25","11.2","17.33","6.59","9.67"
"2021-08-06 03:30","9.22","17.66","6.6","3.41"
"2021-08-06 03:35","8.73","16.21","6.6","3.39"
"2021-08-06 03:40","10.98","17.43","6.6","8.9"
"2021-08-06 03:45","11.56","14.76","5.54","14.38"
"2021-08-06 03:50","12.14","16.85","5.19","14.39"
"2021-08-06 03:55","13.53","19.5","6.67","14.42"
"2021-08-06 04:00","12.47","17.7","6.69","13.03"
"2021-08-06 04:05","8.49","15.48","6.68","3.31"
"2021-08-06 04:10","8.18","14.62","6.68","3.23"
"2021-08-06 04:15","10.52","18.71","6.69","6.15"
"2021-08-06 04:20","12.11","15.47","6.68","14.18"
"2021-08-06 04:25","12.3","16.03","6.68","14.18"
"2021-08-06 04:30","13.06","18.27","6.72","14.19"
"2021-08-06 04:35","13.75","20.36","6.7","14.19"
"2021-08-06 04:40","11.14","17.28","6.69","9.44"
"2021-08-06 04:45","8.47","15.46","6.68","3.25"
"2021-08-06 04:50","9.76","19.31","6.7","3.26"
"2021-08-06 04:55","10.0","17.84","6.71","5.46"
"2021-08-06 05:00","12.94","17.97","6.69","14.17"
"2021-08-06 05:05","13.41","19.38","6.68","14.16"
"2021-08-06 05:10","12.02","15.23","6.68","14.15"
"2021-08-06 05:15","12.15","15.34","6.68","14.42"
"2021-08-06 05:20","12.39","18.91","6.68","11.58"
"2021-08-06 05:25","10.44","21.12","6.68","3.51"
"2021-08-06 05:30","9.39","17.98","6.68","3.51"
"2021-08-06 05:35","8.38","14.94","6.68","3.51"
"2021-08-06 05:40","13.42","19.83","6.69","13.76"
"2021-08-06 05:45","12.63","16.75","6.68","14.46"
"2021-08-06 05:50","12.94","17.68","6.68","14.46"
"2021-08-06 05:55","13.61","19.82","6.68","14.32"
"2021-08-06 06:00","12.69","17.32","6.66","14.09"
"2021-08-06 06:05","11.5","16.64","6.65","11.21"
"2021-08-06 06:10","9.07","17.18","6.68","3.36"
"2021-08-06 06:15","9.67","18.95","6.69","3.38"
"2021-08-06 06:20","9.04","17.1","6.68","3.34"
