"Time stamp","Main 1   (kWh)","Main 1 L1   (kWh)","Main 1 L2   (kWh)","Main 1 L3   (kWh)"
"2021-07-31 00:00","27.67","12.45","3.73","11.49"
"2021-07-31 01:00","26.7","11.72","3.81","11.18"
"2021-07-31 02:00","26.07","11.4","3.86","10.81"
"2021-07-31 03:00","18.88","9.02","3.12","6.75"
"2021-07-31 04:00","9.87","4.16","2.03","3.68"
"2021-07-31 05:00","8.43","3.98","2.02","2.43"
"2021-07-31 06:00","8.53","4.12","1.67","2.73"
"2021-07-31 07:00","10.13","4.2","1.64","4.28"
"2021-07-31 08:00","8.07","3.97","1.62","2.48"
"2021-07-31 09:00","8.0","4.04","1.63","2.34"
"2021-07-31 10:00","8.71","4.23","1.76","2.72"
"2021-07-31 11:00","10.39","3.95","2.03","4.41"
"2021-07-31 12:00","21.17","10.72","3.26","7.18"
"2021-07-31 13:00","23.97","12.54","3.76","7.67"
"2021-07-31 14:00","26.92","12.05","3.72","11.15"
"2021-07-31 15:00","26.89","11.77","3.71","11.41"
"2021-07-31 16:00","22.24","8.48","2.92","10.84"
"2021-07-31 17:00","24.07","9.46","3.1","11.52"
"2021-07-31 18:00","26.65","11.24","3.65","11.76"
"2021-07-31 19:00","26.28","11.43","3.61","11.24"
"2021-07-31 20:00","26.45","11.31","4.17","10.96"
"2021-07-31 21:00","25.52","10.34","3.77","11.42"
"2021-07-31 22:00","25.61","10.48","3.68","11.45"
"2021-07-31 23:00","26.16","10.59","3.79","11.78"
"2021-08-01 00:00","25.89","10.59","3.75","11.54"
"2021-08-01 01:00","25.46","10.5","3.81","11.16"
"2021-08-01 02:00","25.57","10.89","3.68","11.01"
"2021-08-01 03:00","21.77","9.91","2.77","9.09"
"2021-08-01 04:00","20.0","10.55","1.98","7.48"
"2021-08-01 05:00","16.74","8.94","1.84","5.97"
"2021-08-01 06:00","6.94","3.48","1.41","2.06"
"2021-08-01 07:00","8.05","3.51","1.76","2.78"
"2021-08-01 08:00","8.65","3.87","1.81","2.97"
"2021-08-01 09:00","9.54","3.39","1.79","4.36"
"2021-08-01 10:00","7.58","3.5","1.77","2.31"
"2021-08-01 11:00","7.57","3.49","1.65","2.43"
"2021-08-01 12:00","6.98","3.53","1.79","1.66"
"2021-08-01 13:00","13.91","7.08","2.65","4.18"
"2021-08-01 14:00","21.84","10.69","3.48","7.67"
"2021-08-01 15:00","18.25","9.88","1.95","6.43"
"2021-08-01 16:00","18.45","9.88","1.93","6.64"
"2021-08-01 17:00","18.42","10.48","1.93","6.0"
"2021-08-01 18:00","19.44","9.88","1.9","7.66"
"2021-08-01 19:00","17.77","10.25","1.93","5.59"
"2021-08-01 20:00","18.01","9.69","1.94","6.38"
"2021-08-01 21:00","18.22","10.0","1.95","6.28"
"2021-08-01 22:00","17.93","9.94","1.95","6.03"
"2021-08-01 23:00","17.3","9.94","1.97","5.39"
"2021-08-02 00:00","17.1","9.41","1.84","5.85"
"2021-08-02 01:00","16.41","9.3","1.91","5.21"
"2021-08-02 02:00","17.67","9.29","1.81","6.57"
"2021-08-02 03:00","6.04","2.94","1.33","1.77"
"2021-08-02 04:00","5.76","2.29","1.34","2.12"
"2021-08-02 05:00","5.03","2.06","1.37","1.6"
"2021-08-02 06:00","5.62","1.96","1.3","2.35"
"2021-08-02 07:00","4.85","1.98","1.35","1.52"
"2021-08-02 08:00","5.52","1.99","1.39","2.13"
"2021-08-02 09:00","5.5","2.03","1.76","1.71"
"2021-08-02 10:00","6.2","1.87","1.88","2.46"
"2021-08-02 11:00","7.71","3.16","2.33","2.22"
"2021-08-02 12:00","19.73","9.7","3.46","6.57"
"2021-08-02 13:00","12.35","5.34","2.71","4.29"
"2021-08-02 14:00","19.35","8.95","3.43","6.97"
"2021-08-02 15:00","20.36","9.12","3.74","7.51"
"2021-08-02 16:00","15.06","6.89","3.08","5.09"
"2021-08-02 17:00","8.57","1.99","1.93","4.66"
"2021-08-02 18:00","10.91","2.01","1.95","6.95"
"2021-08-02 19:00","9.12","1.48","1.83","5.81"
"2021-08-02 20:00","10.55","2.18","1.83","6.54"
"2021-08-02 21:00","12.6","3.84","1.92","6.84"
"2021-08-02 22:00","11.75","2.89","1.94","6.92"
"2021-08-02 23:00","12.04","3.24","1.92","6.87"
