"Time stamp","Main 1   ()","Main 1 L1   ()","Main 1 L2   ()","Main 1 L3   ()"
"2021-08-03 00:00","0.9178","0.8158","0.9384","0.9992"
"2021-08-03 00:05","0.9122","0.7993","0.9383","0.9991"
"2021-08-03 00:10","0.9059","0.781","0.9378","0.9991"
"2021-08-03 00:15","0.9037","0.7738","0.9383","0.9991"
"2021-08-03 00:20","0.915","0.8074","0.9386","0.999"
"2021-08-03 00:25","0.916","0.812","0.937","0.9991"
"2021-08-03 00:30","0.9149","0.8066","0.9393","0.9989"
"2021-08-03 00:35","0.9069","0.7849","0.9372","0.9987"
"2021-08-03 00:40","0.9053","0.7807","0.9363","0.9989"
"2021-08-03 00:45","0.9117","0.7987","0.9375","0.999"
"2021-08-03 00:50","0.9196","0.8217","0.9381","0.999"
"2021-08-03 00:55","0.9144","0.8061","0.9382","0.9991"
"2021-08-03 01:00","0.9036","0.7739","0.9377","0.9994"
"2021-08-03 01:05","0.9004","0.7654","0.9367","0.9993"
"2021-08-03 01:10","0.9116","0.7997","0.9361","0.9992"
"2021-08-03 01:15","0.9188","0.8186","0.9384","0.9994"
"2021-08-03 01:20","0.9165","0.8049","0.9452","0.9994"
"2021-08-03 01:25","0.9062","0.7755","0.9438","0.9994"
"2021-08-03 01:30","0.8996","0.7544","0.9457","0.9989"
"2021-08-03 01:35","0.9195","0.8142","0.9455","0.9988"
"2021-08-03 01:40","0.9201","0.8148","0.9466","0.999"
"2021-08-03 01:45","0.9141","0.797","0.9466","0.9989"
"2021-08-03 01:50","0.9042","0.7677","0.9461","0.9989"
"2021-08-03 01:55","0.9051","0.7731","0.9436","0.9988"
"2021-08-03 02:00","0.9129","0.797","0.9424","0.9993"
"2021-08-03 02:05","0.9044","0.7713","0.9427","0.9992"
"2021-08-03 02:10","0.9168","0.7964","0.9556","0.9984"
"2021-08-03 02:15","0.9217","0.8039","0.9621","0.9993"
"2021-08-03 02:20","0.9161","0.7867","0.962","0.9996"
"2021-08-03 02:25","0.917","0.7932","0.9672","0.9906"
"2021-08-03 02:30","0.909","0.7916","0.9678","0.9677"
"2021-08-03 02:35","0.9175","0.8172","0.9636","0.9719"
"2021-08-03 02:40","0.9222","0.8174","0.9516","0.9977"
"2021-08-03 02:45","0.9097","0.8045","0.9463","0.9784"
"2021-08-03 02:50","0.911","0.7884","0.9454","0.9992"
"2021-08-03 02:55","0.9132","0.7955","0.9457","0.9985"
"2021-08-03 03:00","0.9185","0.8187","0.9381","0.9988"
"2021-08-03 03:05","0.8981","0.8243","0.8718","0.9983"
"2021-08-03 03:10","0.8429","0.8145","0.8698","0.8446"
"2021-08-03 03:15","0.8213","0.7893","0.8699","0.8049"
"2021-08-03 03:20","0.8914","0.8055","0.8695","0.9994"
"2021-08-03 03:25","0.8592","0.8042","0.8644","0.909"
"2021-08-03 03:30","0.8802","0.7774","0.8643","0.9989"
"2021-08-03 03:35","0.8959","0.8233","0.8655","0.9991"
