"Time stamp","Main 1   (V)","Main 1 L1   (V)","Main 1 L2   (V)","Main 1 L3   (V)"
"2021-08-21 00:00","253.25","252.63","253.36","253.77"
"2021-08-21 00:05","253.34","252.7","253.25","254.07"
"2021-08-21 00:10","252.34","251.74","252.31","252.97"
"2021-08-21 00:15","248.99","248.29","249.08","249.6"
"2021-08-21 00:20","250.01","249.45","250.09","250.49"
"2021-08-21 00:25","250.09","249.63","250.0","250.66"
"2021-08-21 00:30","250.02","249.53","249.97","250.57"
"2021-08-21 00:35","250.0","249.28","250.0","250.74"
"2021-08-21 00:40","250.08","249.51","250.11","250.62"
"2021-08-21 00:45","250.37","249.77","250.39","250.96"
"2021-08-21 00:50","250.47","249.84","250.42","251.15"
"2021-08-21 00:55","250.88","250.17","250.98","251.49"
"2021-08-21 01:00","251.35","250.64","251.57","251.84"
"2021-08-21 01:05","251.41","250.78","251.38","252.07"
"2021-08-21 01:10","251.74","251.17","251.75","252.31"
"2021-08-21 01:15","251.99","251.34","252.09","252.54"
"2021-08-21 01:20","252.1","251.42","252.2","252.68"
"2021-08-21 01:25","252.42","251.79","252.48","253.01"
"2021-08-21 01:30","252.17","251.56","252.14","252.81"
"2021-08-21 01:35","252.07","251.39","252.09","252.75"
"2021-08-21 01:40","252.19","251.52","252.3","252.76"
"2021-08-21 01:45","252.15","251.57","252.16","252.74"
"2021-08-21 01:50","252.29","251.69","252.32","252.87"
"2021-08-21 01:55","252.58","251.93","252.7","253.13"
"2021-08-21 02:00","252.38","251.64","252.55","252.96"
"2021-08-21 02:05","252.55","251.93","252.65","253.09"
"2021-08-21 02:10","252.46","251.91","252.47","253.0"
"2021-08-21 02:15","252.62","252.07","252.69","253.12"
"2021-08-21 02:20","252.42","251.84","252.49","252.95"
"2021-08-21 02:25","252.28","251.68","252.42","252.75"
"2021-08-21 02:30","252.47","252.02","252.14","253.25"
"2021-08-21 02:35","252.9","252.48","252.61","253.61"
"2021-08-21 02:40","252.83","252.32","252.57","253.62"
