"Time stamp","Main 1   (A)","Main 1 L1   (A)","Main 1 L2   (A)","Main 1 L3   (A)"
"2021-08-15 00:00","37.01","49.92","13.84","47.27"
"2021-08-15 00:05","35.66","44.76","16.7","45.54"
"2021-08-15 00:10","34.63","39.05","19.66","45.19"
"2021-08-15 00:15","35.73","42.35","19.81","45.04"
"2021-08-15 00:20","36.33","44.23","19.48","45.27"
"2021-08-15 00:25","36.45","44.7","19.65","45.0"
"2021-08-15 00:30","37.47","45.75","20.08","46.58"
"2021-08-15 00:35","35.64","40.99","19.22","46.7"
"2021-08-15 00:40","35.96","41.5","19.55","46.83"
"2021-08-15 00:45","36.83","44.76","19.18","46.54"
"2021-08-15 00:50","36.77","45.37","18.62","46.32"
"2021-08-15 00:55","36.93","44.56","19.99","46.25"
"2021-08-15 01:00","33.65","42.49","12.0","46.48"
"2021-08-15 01:05","33.06","44.67","9.28","45.23"
"2021-08-15 01:10","33.95","47.25","9.28","45.33"
"2021-08-15 01:15","34.34","42.66","15.08","45.29"
"2021-08-15 01:20","34.24","42.29","16.85","43.58"
"2021-08-15 01:25","33.85","44.22","14.25","43.08"
"2021-08-15 01:30","33.97","44.19","15.62","42.09"
"2021-08-15 01:35","33.78","37.33","20.04","43.99"
"2021-08-15 01:40","33.7","37.21","20.79","43.1"
"2021-08-15 01:45","33.19","36.58","20.83","42.16"
"2021-08-15 01:50","34.02","38.77","20.63","42.66"
"2021-08-15 01:55","35.15","41.95","20.16","43.36"
"2021-08-15 02:00","36.52","45.52","20.72","43.32"
"2021-08-15 02:05","35.11","41.24","20.85","43.24"
"2021-08-15 02:10","35.26","41.45","20.79","43.55"
"2021-08-15 02:15","36.97","46.72","20.44","43.76"
"2021-08-15 02:20","34.85","43.55","16.26","44.75"
"2021-08-15 02:25","31.85","38.9","13.62","43.04"
"2021-08-15 02:30","28.72","42.38","13.0","30.8"
"2021-08-15 02:35","30.98","49.77","13.53","29.62"
"2021-08-15 02:40","29.25","47.39","10.85","29.5"
"2021-08-15 02:45","27.41","41.83","10.87","29.54"
"2021-08-15 02:50","27.89","40.44","13.86","29.37"
"2021-08-15 02:55","28.06","42.32","12.48","29.38"
"2021-08-15 03:00","28.56","46.02","10.2","29.46"
