"Time stamp","Main 1   (V)","Main 1 L1   (V)","Main 1 L2   (V)","Main 1 L3   (V)"
"2021-07-31 00:00","252.08","251.18","252.29","252.78"
"2021-07-31 00:05","252.64","251.79","252.78","253.36"
"2021-07-31 00:10","252.9","251.98","253.12","253.61"
"2021-07-31 00:15","252.87","252.02","253.05","253.55"
"2021-07-31 00:20","252.67","251.87","252.78","253.38"
"2021-07-31 00:25","252.52","251.75","252.66","253.15"
"2021-07-31 00:30","252.29","251.49","252.38","253.02"
"2021-07-31 00:35","252.64","251.79","252.73","253.42"
"2021-07-31 00:40","252.7","251.84","252.81","253.46"
"2021-07-31 00:45","252.97","252.15","253.08","253.68"
"2021-07-31 00:50","253.05","252.17","253.24","253.75"
"2021-07-31 00:55","252.92","252.02","253.07","253.67"
"2021-07-31 01:00","253.29","252.47","253.39","254.03"
"2021-07-31 01:05","253.61","252.8","253.7","254.33"
"2021-07-31 01:10","252.4","251.6","252.52","253.08"
"2021-07-31 01:15","252.19","251.34","252.36","252.89"
"2021-07-31 01:20","252.49","251.63","252.62","253.22"
"2021-07-31 01:25","252.17","251.45","252.25","252.82"
"2021-07-31 01:30","250.52","249.67","250.63","251.26"
"2021-07-31 01:35","250.41","249.6","250.54","251.11"
"2021-07-31 01:40","250.5","249.67","250.57","251.26"
"2021-07-31 01:45","250.52","249.77","250.54","251.25"
"2021-07-31 01:50","248.89","248.17","248.96","249.54"
"2021-07-31 01:55","249.0","248.26","249.12","249.62"
"2021-07-31 02:00","249.6","248.8","249.7","250.3"
"2021-07-31 02:05","249.88","249.09","250.1","250.46"
"2021-07-31 02:10","250.36","249.59","250.47","251.02"
"2021-07-31 02:15","250.34","249.63","250.49","250.92"
"2021-07-31 02:20","250.28","249.57","250.44","250.84"
"2021-07-31 02:25","250.17","249.49","250.23","250.79"
"2021-07-31 02:30","250.37","249.64","250.51","250.97"
"2021-07-31 02:35","250.55","249.8","250.67","251.18"
"2021-07-31 02:40","250.57","249.78","250.79","251.14"
"2021-07-31 02:45","250.26","249.47","250.45","250.87"
"2021-07-31 02:50","249.99","249.26","250.13","250.6"
"2021-07-31 02:55","250.21","249.47","250.39","250.79"
"2021-07-31 03:00","250.06","249.26","250.28","250.64"
"2021-07-31 03:05","250.54","249.73","250.69","251.22"
"2021-07-31 03:10","250.45","249.56","250.62","251.17"
"2021-07-31 03:15","250.41","249.51","250.51","251.21"
"2021-07-31 03:20","250.69","249.85","250.77","251.47"
"2021-07-31 03:25","250.73","249.91","250.81","251.48"
"2021-07-31 03:30","250.61","249.73","250.65","251.46"
"2021-07-31 03:35","250.46","249.58","250.58","251.23"
"2021-07-31 03:40","250.52","249.85","250.42","251.29"
"2021-07-31 03:45","250.5","249.94","250.32","251.26"
"2021-07-31 03:50","250.8","250.15","250.65","251.6"
"2021-07-31 03:55","250.98","250.39","250.82","251.73"
"2021-07-31 04:00","250.89","250.32","250.71","251.64"
"2021-07-31 04:05","250.61","250.0","250.44","251.41"
"2021-07-31 04:10","250.62","250.01","250.43","251.43"
"2021-07-31 04:15","250.44","249.84","250.23","251.25"
"2021-07-31 04:20","250.63","250.02","250.42","251.47"
"2021-07-31 04:25","250.55","249.97","250.32","251.37"
"2021-07-31 04:30","250.76","250.21","250.55","251.53"
"2021-07-31 04:35","250.69","250.06","250.61","251.42"
"2021-07-31 04:40","250.68","250.12","250.46","251.47"
"2021-07-31 04:45","250.83","250.29","250.59","251.63"
"2021-07-31 04:50","250.94","250.34","250.69","251.8"
"2021-07-31 04:55","250.54","250.08","250.27","251.29"
"2021-07-31 05:00","250.23","249.66","249.94","251.11"
"2021-07-31 05:05","250.08","249.45","249.83","250.96"
"2021-07-31 05:10","250.31","249.75","250.04","251.15"
"2021-07-31 05:15","250.6","250.03","250.41","251.37"
"2021-07-31 05:20","250.91","250.32","250.66","251.77"
"2021-07-31 05:25","250.89","250.34","250.64","251.71"
"2021-07-31 05:30","250.69","250.16","250.43","251.5"
"2021-07-31 05:35","250.89","250.34","250.62","251.73"
"2021-07-31 05:40","250.67","250.02","250.41","251.59"
"2021-07-31 05:45","250.46","249.74","250.27","251.39"
"2021-07-31 05:50","250.04","249.34","249.81","250.99"
"2021-07-31 05:55","250.16","249.6","250.0","250.9"
"2021-07-31 06:00","249.49","248.97","249.29","250.21"
"2021-07-31 06:05","249.22","248.6","249.07","249.99"
"2021-07-31 06:10","250.75","250.16","250.6","251.5"
"2021-07-31 06:15","251.37","250.74","251.21","252.17"
"2021-07-31 06:20","251.13","250.32","250.99","252.09"
"2021-07-31 06:25","251.1","250.29","250.98","252.05"
"2021-07-31 06:30","250.91","250.19","250.77","251.77"
"2021-07-31 06:35","250.84","250.21","250.68","251.65"
"2021-07-31 06:40","250.52","249.81","250.34","251.43"
"2021-07-31 06:45","250.78","250.15","250.61","251.58"
"2021-07-31 06:50","250.7","249.93","250.5","251.67"
"2021-07-31 06:55","250.59","249.85","250.36","251.56"
"2021-07-31 07:00","250.28","249.54","249.97","251.35"
"2021-07-31 07:05","253.24","252.41","253.08","254.25"
"2021-07-31 07:10","252.71","251.93","252.47","253.74"
"2021-07-31 07:15","252.41","251.57","252.27","253.41"
"2021-07-31 07:20","252.66","252.04","252.45","253.51"
"2021-07-31 07:25","252.75","252.2","252.53","253.53"
"2021-07-31 07:30","252.42","251.74","252.21","253.32"
"2021-07-31 07:35","252.28","251.5","252.04","253.31"
"2021-07-31 07:40","251.92","251.08","251.77","252.91"
"2021-07-31 07:45","251.6","250.96","251.43","252.42"
"2021-07-31 07:50","251.3","250.67","251.12","252.11"
"2021-07-31 07:55","251.29","250.48","251.1","252.29"
"2021-07-31 08:00","251.53","250.88","251.16","252.55"
"2021-07-31 08:05","250.63","249.93","250.37","251.59"
"2021-07-31 08:10","250.48","249.7","250.14","251.61"
"2021-07-31 08:15","250.39","249.59","249.96","251.64"
"2021-07-31 08:20","250.72","250.02","250.3","251.84"
"2021-07-31 08:25","250.57","249.91","250.1","251.72"
"2021-07-31 08:30","250.14","249.5","249.76","251.18"
"2021-07-31 08:35","250.03","249.27","249.64","251.18"
"2021-07-31 08:40","249.61","248.83","249.19","250.81"
