"Time stamp","Main 1   (kWh)","Main 1 L1   (kWh)","Main 1 L2   (kWh)","Main 1 L3   (kWh)"
"2021-08-06 00:00","23.63","10.37","2.05","11.21"
"2021-08-06 01:00","21.99","10.29","1.97","9.74"
"2021-08-06 02:00","18.72","9.66","1.97","7.09"
"2021-08-06 03:00","7.55","3.54","1.45","2.57"
"2021-08-06 04:00","7.09","3.55","1.51","2.02"
"2021-08-06 05:00","7.94","3.69","1.51","2.74"
"2021-08-06 06:00","7.28","3.66","1.5","2.12"
"2021-08-06 07:00","7.38","3.53","1.47","2.38"
"2021-08-06 08:00","7.24","3.57","1.43","2.24"
"2021-08-06 09:00","6.43","2.61","1.51","2.31"
"2021-08-06 10:00","6.13","2.05","1.51","2.56"
"2021-08-06 11:00","5.94","2.22","1.51","2.21"
"2021-08-06 12:00","5.79","2.19","1.52","2.08"
"2021-08-06 13:00","6.37","2.19","1.52","2.66"
"2021-08-06 14:00","13.18","5.34","2.51","5.33"
"2021-08-06 15:00","21.95","10.91","3.72","7.32"
"2021-08-06 16:00","21.88","11.08","2.04","8.77"
"2021-08-06 17:00","24.73","11.13","2.07","11.53"
"2021-08-06 18:00","26.76","11.62","3.67","11.47"
"2021-08-06 19:00","26.76","11.37","3.81","11.59"
"2021-08-06 20:00","25.68","10.88","3.45","11.34"
"2021-08-06 21:00","26.87","11.76","3.47","11.64"
"2021-08-06 22:00","25.62","10.56","3.46","11.6"
"2021-08-06 23:00","25.37","10.42","3.48","11.46"
"2021-08-07 00:00","25.07","10.28","3.62","11.17"
"2021-08-07 01:00","25.41","10.72","3.61","11.09"
"2021-08-07 02:00","17.07","6.82","2.53","7.72"
"2021-08-07 03:00","6.11","3.59","0.9218","1.59"
"2021-08-07 04:00","6.74","3.62","0.9733","2.14"
"2021-08-07 05:00","6.8","3.58","1.42","1.81"
"2021-08-07 06:00","7.26","3.8","1.35","2.11"
"2021-08-07 07:00","6.07","3.52","0.8261","1.72"
"2021-08-07 08:00","6.27","3.27","0.8203","2.18"
"2021-08-07 09:00","5.97","3.5","0.8179","1.65"
"2021-08-07 10:00","7.71","3.54","0.8165","3.35"
"2021-08-07 11:00","5.91","3.39","0.8477","1.67"
"2021-08-07 12:00","16.29","8.26","2.46","5.58"
"2021-08-07 13:00","21.98","11.93","3.6","6.45"
"2021-08-07 14:00","24.56","11.43","3.53","9.6"
"2021-08-07 15:00","25.68","11.12","3.3","11.26"
"2021-08-07 16:00","24.57","10.87","3.32","10.38"
"2021-08-07 17:00","23.98","11.02","1.72","11.24"
"2021-08-07 18:00","24.32","11.03","1.72","11.57"
"2021-08-07 19:00","23.96","11.04","1.73","11.18"
"2021-08-07 20:00","23.92","10.76","1.7","11.47"
"2021-08-07 21:00","24.51","11.36","1.68","11.47"
"2021-08-07 22:00","25.12","11.89","1.68","11.55"
"2021-08-07 23:00","25.26","12.08","1.68","11.5"
"2021-08-08 00:00","23.4","11.38","1.74","10.28"
"2021-08-08 01:00","23.15","11.0","1.77","10.39"
"2021-08-08 02:00","22.2","9.49","1.76","10.95"
"2021-08-08 03:00","23.71","10.95","1.73","11.04"
"2021-08-08 04:00","17.21","8.44","1.71","7.06"
"2021-08-08 05:00","8.67","4.32","1.7","2.65"
"2021-08-08 06:00","7.82","3.65","1.71","2.46"
"2021-08-08 07:00","7.89","3.8","1.17","2.93"
"2021-08-08 08:00","6.48","3.51","0.9926","1.97"
"2021-08-08 09:00","7.02","3.36","0.9954","2.66"
"2021-08-08 10:00","6.62","3.56","1.0","2.06"
"2021-08-08 11:00","7.4","3.58","1.0","2.81"
"2021-08-08 12:00","6.38","3.4","1.0","1.97"
"2021-08-08 13:00","14.87","7.36","2.55","4.96"
"2021-08-08 14:00","20.32","10.98","3.59","5.74"
"2021-08-08 15:00","18.95","9.85","3.64","5.46"
"2021-08-08 16:00","18.41","9.35","3.58","5.48"
"2021-08-08 17:00","21.17","9.52","3.63","8.02"
"2021-08-08 18:00","21.91","9.25","3.56","9.09"
"2021-08-08 19:00","21.77","9.54","3.57","8.66"
"2021-08-08 20:00","18.78","9.28","3.56","5.94"
"2021-08-08 21:00","19.01","9.27","3.59","6.15"
"2021-08-08 22:00","20.67","9.21","3.58","7.87"
"2021-08-08 23:00","11.47","3.53","1.77","6.17"
