"Time stamp","Main 1   (kWh)","Main 1 L1   (kWh)","Main 1 L2   (kWh)","Main 1 L3   (kWh)"
"2021-08-03 00:00","12.34","3.77","1.95","6.62"
"2021-08-03 01:00","12.35","3.68","2.02","6.65"
"2021-08-03 02:00","8.99","3.78","1.9","3.31"
"2021-08-03 03:00","8.27","3.61","1.45","3.21"
"2021-08-03 04:00","8.61","3.61","1.41","3.59"
"2021-08-03 05:00","7.08","2.0","1.4","3.67"
"2021-08-03 06:00","7.52","2.72","1.4","3.41"
"2021-08-03 07:00","6.99","2.01","1.4","3.59"
"2021-08-03 08:00","6.9","2.15","1.33","3.42"
"2021-08-03 09:00","7.1","2.12","1.46","3.53"
"2021-08-03 10:00","7.23","2.25","1.44","3.53"
"2021-08-03 11:00","7.74","3.32","1.42","3.0"
"2021-08-03 12:00","7.5","2.18","1.51","3.81"
"2021-08-03 13:00","6.72","1.97","1.88","2.87"
"2021-08-03 14:00","7.08","1.55","1.87","3.66"
"2021-08-03 15:00","19.33","8.81","3.35","7.16"
"2021-08-03 16:00","17.47","8.77","3.72","4.99"
"2021-08-03 17:00","18.2","7.96","3.7","6.55"
"2021-08-03 18:00","19.66","9.24","3.64","6.78"
"2021-08-03 19:00","22.86","10.24","3.62","9.0"
"2021-08-03 20:00","20.12","8.67","3.64","7.81"
"2021-08-03 21:00","23.43","10.19","3.68","9.56"
"2021-08-03 22:00","23.06","10.22","3.74","9.1"
"2021-08-03 23:00","24.22","10.58","3.77","9.87"
"2021-08-04 00:00","22.98","10.09","3.81","9.08"
"2021-08-04 01:00","16.18","7.19","2.68","6.31"
"2021-08-04 02:00","7.22","3.49","1.4","2.33"
"2021-08-04 03:00","6.88","3.6","1.4","1.88"
"2021-08-04 04:00","6.86","3.53","1.28","2.04"
"2021-08-04 05:00","7.55","3.54","1.63","2.39"
"2021-08-04 06:00","6.65","3.36","1.63","1.66"
"2021-08-04 07:00","7.07","3.19","1.63","2.24"
"2021-08-04 08:00","5.47","2.4","1.53","1.53"
"2021-08-04 09:00","5.78","2.05","1.44","2.29"
"2021-08-04 10:00","5.85","2.87","1.39","1.58"
"2021-08-04 11:00","6.07","2.51","1.4","2.16"
"2021-08-04 12:00","4.91","1.9","1.45","1.56"
"2021-08-04 13:00","5.68","1.96","1.44","2.28"
"2021-08-04 14:00","4.79","1.31","1.58","1.89"
"2021-08-04 15:00","14.84","6.86","2.68","5.3"
"2021-08-04 16:00","23.36","11.3","3.89","8.18"
"2021-08-04 17:00","21.89","10.76","3.96","7.18"
"2021-08-04 18:00","21.69","9.6","3.13","8.96"
"2021-08-04 19:00","23.37","10.81","2.57","9.99"
"2021-08-04 20:00","22.43","9.92","2.4","10.11"
"2021-08-04 21:00","25.73","11.09","3.49","11.15"
"2021-08-04 22:00","25.33","10.37","3.77","11.19"
"2021-08-04 23:00","25.68","10.66","3.78","11.24"
"2021-08-05 00:00","24.56","9.64","3.82","11.1"
"2021-08-05 01:00","24.5","9.58","3.86","11.06"
"2021-08-05 02:00","22.91","9.92","4.04","8.94"
"2021-08-05 03:00","18.71","9.53","3.67","5.5"
"2021-08-05 04:00","15.99","9.13","3.35","3.51"
"2021-08-05 05:00","15.88","8.85","3.21","3.81"
"2021-08-05 06:00","13.42","7.3","3.21","2.91"
"2021-08-05 07:00","13.28","6.88","3.25","3.16"
"2021-08-05 08:00","13.9","7.22","3.25","3.43"
"2021-08-05 09:00","12.72","7.11","3.11","2.5"
"2021-08-05 10:00","5.84","1.46","1.87","2.52"
"2021-08-05 11:00","5.43","1.21","1.95","2.27"
"2021-08-05 12:00","5.49","1.3","1.88","2.31"
"2021-08-05 13:00","6.62","1.53","2.0","3.09"
"2021-08-05 14:00","8.63","3.11","2.05","3.47"
"2021-08-05 15:00","22.16","10.72","4.31","7.12"
"2021-08-05 16:00","21.01","10.78","1.97","8.26"
"2021-08-05 17:00","23.38","11.12","1.98","10.28"
"2021-08-05 18:00","23.71","10.9","2.0","10.8"
"2021-08-05 19:00","23.36","10.74","1.93","10.69"
"2021-08-05 20:00","23.75","10.61","2.02","11.12"
"2021-08-05 21:00","23.65","10.65","2.0","11.0"
"2021-08-05 22:00","24.31","10.82","2.07","11.42"
"2021-08-05 23:00","24.09","10.42","2.03","11.64"
