"Time stamp","Main 1   ()","Main 1 L1   ()","Main 1 L2   ()","Main 1 L3   ()"
"2021-08-18 00:00","0.9707","0.9681","0.9464","0.9976"
"2021-08-18 00:05","0.9704","0.9678","0.9459","0.9976"
"2021-08-18 00:10","0.9687","0.962","0.9466","0.9976"
"2021-08-18 00:15","0.9647","0.9508","0.9457","0.9976"
"2021-08-18 00:20","0.9655","0.9534","0.9458","0.9975"
"2021-08-18 00:25","0.9721","0.9738","0.9449","0.9976"
"2021-08-18 00:30","0.9706","0.9701","0.944","0.9979"
"2021-08-18 00:35","0.9667","0.9571","0.9455","0.9976"
"2021-08-18 00:40","0.9665","0.9528","0.9494","0.9973"
"2021-08-18 00:45","0.9703","0.965","0.9481","0.998"
"2021-08-18 00:50","0.972","0.9694","0.9491","0.9977"
"2021-08-18 00:55","0.9699","0.9613","0.9507","0.9977"
"2021-08-18 01:00","0.9694","0.9616","0.9491","0.9976"
"2021-08-18 01:05","0.9685","0.958","0.9498","0.9977"
"2021-08-18 01:10","0.9675","0.9553","0.9497","0.9976"
"2021-08-18 01:15","0.9719","0.9689","0.9488","0.998"
"2021-08-18 01:20","0.9714","0.9677","0.9486","0.998"
"2021-08-18 01:25","0.9741","0.9732","0.9512","0.998"
"2021-08-18 01:30","0.9703","0.9654","0.9475","0.9981"
"2021-08-18 01:35","0.9724","0.9712","0.9485","0.9977"
"2021-08-18 01:40","0.9737","0.9754","0.9482","0.9977"
"2021-08-18 01:45","0.9731","0.9744","0.9475","0.9976"
"2021-08-18 01:50","0.9723","0.9732","0.9466","0.9973"
"2021-08-18 01:55","0.9705","0.9672","0.9468","0.9976"
"2021-08-18 02:00","0.9747","0.9719","0.9543","0.998"
"2021-08-18 02:05","0.9747","0.9711","0.9552","0.9978"
"2021-08-18 02:10","0.9702","0.9651","0.9475","0.998"
"2021-08-18 02:15","0.9698","0.9686","0.9429","0.9981"
"2021-08-18 02:20","0.9692","0.9768","0.9332","0.9978"
"2021-08-18 02:25","0.974","0.9757","0.9487","0.9977"
"2021-08-18 02:30","0.9726","0.9724","0.948","0.9975"
"2021-08-18 02:35","0.9658","0.9667","0.934","0.9968"
"2021-08-18 02:40","0.9681","0.9758","0.9321","0.9965"
"2021-08-18 02:45","0.9711","0.9799","0.9396","0.9939"
"2021-08-18 02:50","0.9759","0.969","0.9667","0.9921"
"2021-08-18 02:55","0.9622","0.961","0.9334","0.9924"
"2021-08-18 03:00","0.9633","0.9655","0.931","0.9934"
"2021-08-18 03:05","0.9689","0.9733","0.9362","0.9972"
"2021-08-18 03:10","0.9797","0.9664","0.9756","0.9971"
"2021-08-18 03:15","0.9617","0.9545","0.9339","0.9967"
"2021-08-18 03:20","0.9577","0.9427","0.9342","0.9964"
"2021-08-18 03:25","0.9667","0.9668","0.9397","0.9938"
"2021-08-18 03:30","0.978","0.9729","0.9692","0.9919"
