"Time stamp","Main 1   ()","Main 1 L1   ()","Main 1 L2   ()","Main 1 L3   ()"
"2021-07-31 00:00","0.9765","0.9664","0.9672","0.996"
"2021-07-31 00:05","0.9808","0.9723","0.974","0.9963"
"2021-07-31 00:10","0.9802","0.9762","0.9683","0.9963"
"2021-07-31 00:15","0.9799","0.9724","0.9711","0.9963"
"2021-07-31 00:20","0.9797","0.9702","0.9725","0.9964"
"2021-07-31 00:25","0.9782","0.9701","0.968","0.9965"
"2021-07-31 00:30","0.9817","0.9733","0.9754","0.9964"
"2021-07-31 00:35","0.9778","0.9689","0.9682","0.9964"
"2021-07-31 00:40","0.9787","0.9676","0.9722","0.9965"
"2021-07-31 00:45","0.9789","0.9682","0.9723","0.9964"
"2021-07-31 00:50","0.9789","0.9718","0.9686","0.9963"
"2021-07-31 00:55","0.9797","0.9687","0.9742","0.9964"
"2021-07-31 01:00","0.9766","0.9664","0.967","0.9964"
"2021-07-31 01:05","0.981","0.9731","0.9737","0.9963"
"2021-07-31 01:10","0.9805","0.9733","0.9721","0.9962"
"2021-07-31 01:15","0.9785","0.9694","0.9701","0.9962"
"2021-07-31 01:20","0.9797","0.969","0.974","0.9962"
"2021-07-31 01:25","0.9803","0.9754","0.9694","0.9963"
"2021-07-31 01:30","0.9841","0.9818","0.9746","0.9961"
"2021-07-31 01:35","0.9828","0.9771","0.9749","0.9964"
"2021-07-31 01:40","0.9817","0.9782","0.9712","0.9959"
"2021-07-31 01:45","0.9809","0.9767","0.9707","0.9955"
"2021-07-31 01:50","0.9852","0.9838","0.9764","0.9954"
"2021-07-31 01:55","0.9828","0.983","0.9702","0.9954"
"2021-07-31 02:00","0.9798","0.9684","0.9758","0.9953"
"2021-07-31 02:05","0.9806","0.9761","0.9706","0.9953"
"2021-07-31 02:10","0.9819","0.977","0.9735","0.9953"
"2021-07-31 02:15","0.9841","0.9825","0.9745","0.9954"
"2021-07-31 02:20","0.9823","0.9808","0.9708","0.9954"
"2021-07-31 02:25","0.9814","0.9731","0.9761","0.9952"
"2021-07-31 02:30","0.982","0.9795","0.9711","0.9954"
"2021-07-31 02:35","0.9812","0.9751","0.9732","0.9954"
"2021-07-31 02:40","0.9807","0.9718","0.975","0.9955"
"2021-07-31 02:45","0.9808","0.9762","0.9708","0.9954"
"2021-07-31 02:50","0.9838","0.9843","0.9718","0.9954"
"2021-07-31 02:55","0.9849","0.9859","0.9737","0.9953"
"2021-07-31 03:00","0.9834","0.9851","0.9698","0.9953"
"2021-07-31 03:05","0.9834","0.9797","0.9765","0.9941"
"2021-07-31 03:10","0.9804","0.9788","0.9703","0.9922"
"2021-07-31 03:15","0.9795","0.9745","0.9719","0.9922"
"2021-07-31 03:20","0.9791","0.9718","0.9744","0.9913"
"2021-07-31 03:25","0.9787","0.9732","0.9711","0.9918"
"2021-07-31 03:30","0.9797","0.9696","0.9777","0.992"
"2021-07-31 03:35","0.9802","0.9768","0.9726","0.9914"
"2021-07-31 03:40","0.9376","0.858","0.9668","0.988"
"2021-07-31 03:45","0.9287","0.8353","0.9648","0.9862"
"2021-07-31 03:50","0.9253","0.8262","0.9651","0.9846"
"2021-07-31 03:55","0.9214","0.8281","0.9511","0.985"
"2021-07-31 04:00","0.917","0.8151","0.9507","0.9854"
"2021-07-31 04:05","0.9133","0.8058","0.9492","0.985"
"2021-07-31 04:10","0.9202","0.8253","0.9498","0.9857"
"2021-07-31 04:15","0.9258","0.8372","0.9548","0.9856"
"2021-07-31 04:20","0.9216","0.8256","0.9538","0.9855"
"2021-07-31 04:25","0.9185","0.8172","0.9531","0.9852"
"2021-07-31 04:30","0.9141","0.8017","0.9531","0.9876"
