"Time stamp","Main 1   (A)","Main 1 L1   (A)","Main 1 L2   (A)","Main 1 L3   (A)"
"2021-08-09 00:00","19.36","21.67","7.24","29.18"
"2021-08-09 00:05","18.11","17.89","7.26","29.19"
"2021-08-09 00:10","17.95","17.36","7.27","29.23"
"2021-08-09 00:15","18.3","18.47","7.26","29.18"
"2021-08-09 00:20","19.0","20.55","7.26","29.18"
"2021-08-09 00:25","17.41","15.76","7.28","29.2"
"2021-08-09 00:30","17.66","16.5","7.28","29.21"
"2021-08-09 00:35","18.65","19.46","7.28","29.21"
"2021-08-09 00:40","14.02","16.69","7.28","18.08"
"2021-08-09 00:45","14.18","18.89","7.28","16.38"
"2021-08-09 00:50","13.21","15.95","7.28","16.39"
"2021-08-09 00:55","15.94","15.56","7.28","24.97"
"2021-08-09 01:00","18.82","19.96","7.28","29.22"
"2021-08-09 01:05","18.64","19.41","7.28","29.23"
"2021-08-09 01:10","18.83","19.96","7.28","29.26"
"2021-08-09 01:15","18.68","20.07","6.68","29.3"
"2021-08-09 01:20","17.89","18.38","6.0","29.29"
"2021-08-09 01:25","19.55","22.32","7.04","29.3"
"2021-08-09 01:30","18.2","18.05","7.27","29.28"
"2021-08-09 01:35","18.04","17.68","7.27","29.17"
"2021-08-09 01:40","18.53","20.66","6.22","28.7"
"2021-08-09 01:45","16.5","18.57","3.35","27.57"
"2021-08-09 01:50","14.12","16.31","3.32","22.75"
"2021-08-09 01:55","11.96","17.93","3.32","14.62"
"2021-08-09 02:00","11.84","17.59","3.32","14.61"
"2021-08-09 02:05","12.23","18.75","3.32","14.63"
"2021-08-09 02:10","11.41","16.3","3.32","14.62"
"2021-08-09 02:15","12.01","18.09","3.32","14.62"
"2021-08-09 02:20","12.81","20.49","3.32","14.63"
"2021-08-09 02:25","11.87","17.68","3.32","14.62"
"2021-08-09 02:30","12.44","19.38","3.32","14.62"
"2021-08-09 02:35","12.33","19.05","3.32","14.62"
"2021-08-09 02:40","10.87","14.67","3.32","14.61"
"2021-08-09 02:45","11.78","17.38","3.32","14.63"
"2021-08-09 02:50","12.73","20.25","3.32","14.62"
"2021-08-09 02:55","11.38","16.34","3.32","14.47"
"2021-08-09 03:00","11.61","17.3","3.32","14.19"
"2021-08-09 03:05","8.66","18.38","3.32","4.29"
"2021-08-09 03:10","7.5","15.99","3.32","3.19"
"2021-08-09 03:15","10.16","18.47","3.32","8.69"
"2021-08-09 03:20","12.92","21.11","3.32","14.33"
"2021-08-09 03:25","11.65","17.0","3.32","14.64"
"2021-08-09 03:30","11.62","16.94","3.32","14.62"
"2021-08-09 03:35","12.19","18.62","3.32","14.63"
"2021-08-09 03:40","8.81","15.17","3.32","7.95"
"2021-08-09 03:45","8.46","18.58","3.32","3.49"
"2021-08-09 03:50","8.67","19.2","3.32","3.49"
"2021-08-09 03:55","10.27","14.72","3.32","12.76"
"2021-08-09 04:00","11.45","16.41","3.32","14.61"
"2021-08-09 04:05","12.16","18.54","3.32","14.61"
"2021-08-09 04:10","11.18","15.62","3.32","14.6"
"2021-08-09 04:15","10.59","13.85","3.32","14.59"
"2021-08-09 04:20","8.31","15.17","3.32","6.43"
"2021-08-09 04:25","7.3","15.13","3.32","3.46"
"2021-08-09 04:30","7.74","16.42","3.32","3.48"
"2021-08-09 04:35","11.55","20.46","3.32","10.89"
"2021-08-09 04:40","12.28","18.95","3.32","14.58"
"2021-08-09 04:45","10.86","14.69","3.32","14.58"
"2021-08-09 04:50","12.08","18.31","3.32","14.6"
"2021-08-09 04:55","11.19","15.66","3.32","14.58"
"2021-08-09 05:00","9.8","15.93","3.32","10.15"
"2021-08-09 05:05","9.98","23.11","3.32","3.5"
"2021-08-09 05:10","7.99","17.14","3.32","3.5"
"2021-08-09 05:15","8.11","16.06","3.32","4.96"
"2021-08-09 05:20","12.48","19.55","3.32","14.58"
"2021-08-09 05:25","11.71","17.23","3.32","14.57"
