"Time stamp","Main 1   (A)","Main 1 L1   (A)","Main 1 L2   (A)","Main 1 L3   (A)"
"2021-08-12 00:00","28.07","44.74","8.64","30.84"
"2021-08-12 00:05","30.2","38.88","8.6","43.12"
"2021-08-12 00:10","28.91","38.1","8.6","40.02"
"2021-08-12 00:15","25.9","38.52","8.59","30.6"
"2021-08-12 00:20","29.76","42.68","8.6","38.01"
"2021-08-12 00:25","30.36","39.34","8.59","43.14"
"2021-08-12 00:30","27.69","32.15","8.57","42.34"
"2021-08-12 00:35","28.07","33.47","8.56","42.19"
"2021-08-12 00:40","28.93","35.99","8.56","42.25"
"2021-08-12 00:45","30.34","39.56","8.56","42.88"
"2021-08-12 00:50","29.74","38.65","8.59","41.99"
"2021-08-12 00:55","30.18","39.68","8.64","42.22"
"2021-08-12 01:00","30.77","40.86","8.67","42.77"
"2021-08-12 01:05","31.28","42.55","8.69","42.58"
"2021-08-12 01:10","30.69","41.39","8.16","42.52"
"2021-08-12 01:15","30.32","39.89","8.66","42.4"
"2021-08-12 01:20","31.31","42.68","8.64","42.62"
"2021-08-12 01:25","32.95","46.98","8.64","43.22"
"2021-08-12 01:30","32.34","45.34","8.64","43.03"
"2021-08-12 01:35","30.78","41.0","8.63","42.72"
"2021-08-12 01:40","30.89","40.84","8.61","43.23"
"2021-08-12 01:45","31.34","42.09","8.63","43.3"
"2021-08-12 01:50","23.97","32.84","8.56","30.52"
"2021-08-12 01:55","20.35","26.78","8.54","25.72"
"2021-08-12 02:00","21.18","31.27","6.82","25.45"
"2021-08-12 02:05","21.34","33.9","4.72","25.4"
"2021-08-12 02:10","22.1","35.94","4.76","25.6"
"2021-08-12 02:15","22.05","35.83","4.76","25.56"
"2021-08-12 02:20","21.04","33.04","4.76","25.33"
"2021-08-12 02:25","20.98","32.94","4.76","25.23"
"2021-08-12 02:30","20.62","32.06","4.6","25.2"
"2021-08-12 02:35","22.0","36.05","4.76","25.2"
"2021-08-12 02:40","21.72","35.18","4.76","25.21"
"2021-08-12 02:45","20.8","32.84","4.76","24.8"
"2021-08-12 02:50","16.69","33.0","4.76","12.32"
"2021-08-12 02:55","16.02","30.6","4.76","12.71"
"2021-08-12 03:00","16.37","31.86","4.76","12.5"
"2021-08-12 03:05","16.39","34.8","4.76","9.62"
"2021-08-12 03:10","12.74","32.72","4.76","0.723"
"2021-08-12 03:15","12.82","32.99","4.76","0.721"
"2021-08-12 03:20","12.47","29.99","4.76","2.66"
"2021-08-12 03:25","16.13","31.05","4.76","12.59"
"2021-08-12 03:30","17.46","34.93","4.76","12.68"
"2021-08-12 03:35","16.75","32.81","4.76","12.68"
"2021-08-12 03:40","16.79","33.1","4.76","12.5"
"2021-08-12 03:45","15.32","28.83","4.76","12.36"
"2021-08-12 03:50","12.63","29.7","4.76","3.44"
"2021-08-12 03:55","13.54","35.14","4.76","0.736"
"2021-08-12 04:00","12.54","32.13","4.76","0.72"
"2021-08-12 04:05","12.71","33.0","3.64","1.5"
"2021-08-12 04:10","15.39","29.24","4.54","12.4"
"2021-08-12 04:15","15.49","28.98","4.76","12.71"
"2021-08-12 04:20","17.2","34.15","4.76","12.68"
"2021-08-12 04:25","16.04","31.57","4.76","11.78"
"2021-08-12 04:30","11.93","30.5","4.56","0.721"
"2021-08-12 04:35","11.17","29.21","3.58","0.72"
"2021-08-12 04:40","11.44","28.84","4.74","0.737"
"2021-08-12 04:45","16.23","33.51","4.76","10.4"
"2021-08-12 04:50","16.97","33.78","4.76","12.37"
"2021-08-12 04:55","15.68","29.95","4.76","12.34"
"2021-08-12 05:00","15.39","29.7","3.93","12.54"
"2021-08-12 05:05","14.72","30.38","4.22","9.55"
"2021-08-12 05:10","12.89","32.94","4.76","0.956"
"2021-08-12 05:15","11.87","30.09","4.75","0.781"
"2021-08-12 05:20","11.94","30.37","4.74","0.721"
"2021-08-12 05:25","15.95","32.57","4.13","11.17"
"2021-08-12 05:30","16.04","31.76","4.05","12.32"
"2021-08-12 05:35","15.21","29.23","4.09","12.31"
"2021-08-12 05:40","14.87","28.73","3.56","12.32"
"2021-08-12 05:45","14.61","32.58","3.56","7.69"
"2021-08-12 05:50","12.46","32.83","3.56","0.977"
"2021-08-12 05:55","11.48","29.91","3.56","0.96"
"2021-08-12 06:00","12.06","31.32","3.56","1.3"
"2021-08-12 06:05","15.94","31.32","4.28","12.21"
"2021-08-12 06:10","15.14","28.46","4.76","12.19"
"2021-08-12 06:15","16.36","32.18","4.74","12.17"
"2021-08-12 06:20","16.82","33.57","4.72","12.16"
"2021-08-12 06:25","12.97","29.66","4.72","4.53"
"2021-08-12 06:30","11.66","29.53","4.72","0.721"
"2021-08-12 06:35","12.32","31.41","4.72","0.821"
"2021-08-12 06:40","13.27","28.28","4.71","6.81"
"2021-08-12 06:45","15.07","27.89","4.72","12.6"
"2021-08-12 06:50","15.21","28.47","4.74","12.42"
"2021-08-12 06:55","15.09","28.25","4.74","12.28"
"2021-08-12 07:00","12.34","28.57","3.98","4.46"
"2021-08-12 07:05","12.0","31.08","4.19","0.737"
"2021-08-12 07:10","12.83","32.99","4.73","0.757"
"2021-08-12 07:15","14.45","29.86","4.72","8.76"
"2021-08-12 07:20","15.7","30.21","4.72","12.18"
"2021-08-12 07:25","16.36","32.37","4.25","12.47"
"2021-08-12 07:30","14.98","28.46","3.89","12.6"
"2021-08-12 07:35","14.95","30.17","4.84","9.85"
"2021-08-12 07:40","12.84","29.74","8.01","0.753"
"2021-08-12 07:45","13.01","30.26","8.03","0.738"
"2021-08-12 07:50","12.7","29.69","7.67","0.743"
"2021-08-12 07:55","15.93","28.32","7.14","12.31"
"2021-08-12 08:00","17.3","31.53","8.08","12.28"
"2021-08-12 08:05","17.99","33.7","8.04","12.23"
"2021-08-12 08:10","18.26","34.54","8.03","12.22"
"2021-08-12 08:15","17.54","32.69","7.42","12.52"
"2021-08-12 08:20","15.69","31.83","7.34","7.9"
"2021-08-12 08:25","13.32","30.88","8.11","0.96"
"2021-08-12 08:30","12.88","29.83","8.08","0.737"
"2021-08-12 08:35","12.74","29.41","8.08","0.736"
"2021-08-12 08:40","16.24","32.98","7.27","8.48"
"2021-08-12 08:45","16.84","30.31","7.47","12.74"
"2021-08-12 08:50","21.12","30.05","8.1","25.2"
"2021-08-12 08:55","21.74","31.95","8.08","25.19"
"2021-08-12 09:00","21.5","31.31","8.06","25.14"
"2021-08-12 09:05","14.6","28.74","7.09","7.97"
"2021-08-12 09:10","13.28","31.49","7.6","0.759"
"2021-08-12 09:15","17.09","31.75","8.08","11.43"
"2021-08-12 09:20","19.81","29.65","8.08","21.71"
"2021-08-12 09:25","16.76","31.75","6.03","12.5"
"2021-08-12 09:30","15.77","30.75","3.95","12.62"
"2021-08-12 09:35","15.64","29.64","4.7","12.6"
"2021-08-12 09:40","16.17","30.82","5.04","12.65"
"2021-08-12 09:45","15.49","31.74","5.04","9.7"
"2021-08-12 09:50","12.09","30.01","5.5","0.769"
"2021-08-12 09:55","12.59","30.12","6.88","0.757"
"2021-08-12 10:00","13.51","31.12","7.69","1.71"
"2021-08-12 10:05","18.18","26.92","11.91","15.72"
"2021-08-12 10:10","25.9","39.32","18.73","19.65"
"2021-08-12 10:15","30.48","53.23","14.54","23.66"
"2021-08-12 10:20","28.26","46.27","8.61","29.91"
"2021-08-12 10:25","29.17","44.98","13.14","29.39"
"2021-08-12 10:30","28.89","49.69","17.44","19.55"
"2021-08-12 10:35","25.06","40.23","15.54","19.41"
"2021-08-12 10:40","25.94","43.28","13.97","20.59"
"2021-08-12 10:45","31.38","45.94","17.14","31.06"
"2021-08-12 10:50","31.36","41.6","21.46","31.01"
"2021-08-12 10:55","28.42","40.69","13.61","30.97"
"2021-08-12 11:00","26.88","41.6","8.12","30.91"
"2021-08-12 11:05","24.67","38.95","8.07","27.01"
"2021-08-12 11:10","24.05","44.87","8.09","19.18"
"2021-08-12 11:15","24.77","47.96","6.96","19.38"
"2021-08-12 11:20","24.08","42.0","7.61","22.63"
"2021-08-12 11:25","26.28","39.67","8.02","31.16"
