"Time stamp","Main 1   (kWh)","Main 1 L1   (kWh)","Main 1 L2   (kWh)","Main 1 L3   (kWh)"
"2021-08-15 00:00","26.96","10.73","4.65","11.58"
"2021-08-15 01:00","25.22","10.18","3.99","11.05"
"2021-08-15 02:00","23.66","10.58","3.85","9.24"
"2021-08-15 03:00","20.09","10.02","2.86","7.21"
"2021-08-15 04:00","18.28","9.42","2.99","5.87"
"2021-08-15 05:00","19.29","9.02","3.61","6.66"
"2021-08-15 06:00","20.0","9.17","3.56","7.27"
"2021-08-15 07:00","17.66","9.11","3.06","5.49"
"2021-08-15 08:00","17.51","9.08","2.88","5.55"
"2021-08-15 09:00","16.59","8.85","2.96","4.79"
"2021-08-15 10:00","17.64","9.03","4.24","4.38"
"2021-08-15 11:00","6.97","3.46","1.79","1.73"
"2021-08-15 12:00","8.03","3.81","1.91","2.31"
"2021-08-15 13:00","7.74","3.69","1.99","2.07"
"2021-08-15 14:00","19.5","10.16","3.61","5.74"
"2021-08-15 15:00","19.72","10.35","2.01","7.37"
"2021-08-15 16:00","21.97","10.41","2.0","9.56"
"2021-08-15 17:00","21.47","10.54","1.87","9.06"
"2021-08-15 18:00","19.19","10.27","1.97","6.96"
"2021-08-15 19:00","19.43","10.52","2.0","6.92"
"2021-08-15 20:00","19.2","10.27","2.0","6.93"
"2021-08-15 21:00","20.28","10.04","2.0","8.24"
"2021-08-15 22:00","20.95","10.08","2.24","8.63"
"2021-08-15 23:00","21.5","10.74","3.47","7.3"
"2021-08-16 00:00","16.53","10.11","1.01","5.42"
"2021-08-16 01:00","17.52","10.17","1.07","6.28"
"2021-08-16 02:00","16.2","9.92","1.06","5.23"
"2021-08-16 03:00","16.84","10.01","1.05","5.77"
"2021-08-16 04:00","16.38","9.96","1.07","5.35"
"2021-08-16 05:00","18.08","9.99","1.66","6.44"
"2021-08-16 06:00","17.59","9.89","1.61","6.09"
"2021-08-16 07:00","17.33","9.93","1.4","5.99"
"2021-08-16 08:00","15.4","9.05","1.22","5.13"
"2021-08-16 09:00","17.0","9.71","1.83","5.46"
"2021-08-16 10:00","13.64","6.81","1.84","4.99"
"2021-08-16 11:00","6.07","2.13","1.84","2.09"
"2021-08-16 12:00","6.88","2.09","1.86","2.92"
"2021-08-16 13:00","7.0","2.29","1.87","2.84"
"2021-08-16 14:00","6.87","2.42","1.96","2.49"
"2021-08-16 15:00","7.64","2.64","1.93","3.08"
"2021-08-16 16:00","8.57","3.33","1.95","3.28"
"2021-08-16 17:00","9.52","3.9","1.95","3.67"
"2021-08-16 18:00","9.37","3.9","1.97","3.51"
"2021-08-16 19:00","22.37","10.95","3.66","7.76"
"2021-08-16 20:00","24.66","10.69","3.74","10.24"
"2021-08-16 21:00","21.96","10.47","3.71","7.79"
"2021-08-16 22:00","19.95","9.82","3.76","6.37"
"2021-08-16 23:00","22.1","10.13","3.79","8.19"
"2021-08-17 00:00","18.36","7.43","2.71","8.22"
"2021-08-17 01:00","6.93","3.84","1.05","2.04"
"2021-08-17 02:00","6.78","3.75","1.09","1.94"
"2021-08-17 03:00","5.64","2.67","1.13","1.84"
"2021-08-17 04:00","5.06","1.86","1.14","2.06"
"2021-08-17 05:00","5.91","2.19","1.72","2.01"
"2021-08-17 06:00","7.38","2.07","1.72","3.59"
"2021-08-17 07:00","5.61","2.16","1.38","2.07"
"2021-08-17 08:00","4.95","2.17","1.0","1.78"
"2021-08-17 09:00","7.12","3.51","1.12","2.49"
"2021-08-17 10:00","5.25","2.49","1.12","1.65"
"2021-08-17 11:00","5.42","2.07","1.13","2.22"
"2021-08-17 12:00","4.81","2.07","1.1","1.64"
"2021-08-17 13:00","6.41","3.23","1.09","2.09"
"2021-08-17 14:00","5.54","2.6","1.06","1.88"
"2021-08-17 15:00","19.88","10.47","3.61","5.8"
"2021-08-17 16:00","20.69","11.15","3.81","5.73"
"2021-08-17 17:00","20.07","10.38","3.77","5.92"
"2021-08-17 18:00","21.02","10.36","3.38","7.28"
"2021-08-17 19:00","18.64","9.19","1.94","7.51"
"2021-08-17 20:00","21.39","9.4","1.89","10.1"
"2021-08-17 21:00","21.51","9.6","1.82","10.08"
"2021-08-17 22:00","22.3","9.58","1.94","10.78"
"2021-08-17 23:00","22.03","9.42","1.96","10.65"
