"Time stamp","Main 1   ()","Main 1 L1   ()","Main 1 L2   ()","Main 1 L3   ()"
"2021-08-15 00:00","0.9788","0.9752","0.9651","0.9962"
"2021-08-15 00:05","0.9831","0.9773","0.9759","0.9963"
"2021-08-15 00:10","0.9836","0.9717","0.983","0.9962"
"2021-08-15 00:15","0.9814","0.9649","0.9831","0.9962"
"2021-08-15 00:20","0.9849","0.9763","0.9824","0.9961"
"2021-08-15 00:25","0.9843","0.9743","0.9827","0.9961"
"2021-08-15 00:30","0.9847","0.9736","0.9839","0.9966"
"2021-08-15 00:35","0.9833","0.9714","0.9821","0.9966"
"2021-08-15 00:40","0.9851","0.9758","0.9831","0.9966"
"2021-08-15 00:45","0.9837","0.9728","0.9819","0.9966"
"2021-08-15 00:50","0.9815","0.9674","0.9807","0.9964"
"2021-08-15 00:55","0.9804","0.9615","0.9835","0.9964"
"2021-08-15 01:00","0.9703","0.9613","0.9535","0.9963"
"2021-08-15 01:05","0.9697","0.9684","0.9447","0.9961"
"2021-08-15 01:10","0.9695","0.9686","0.9447","0.9952"
"2021-08-15 01:15","0.9748","0.9599","0.9695","0.9952"
"2021-08-15 01:20","0.9781","0.9635","0.9761","0.9948"
"2021-08-15 01:25","0.981","0.9814","0.9666","0.9951"
"2021-08-15 01:30","0.9833","0.9799","0.9725","0.9977"
"2021-08-15 01:35","0.9885","0.9844","0.9833","0.998"
"2021-08-15 01:40","0.9864","0.9772","0.9844","0.9978"
"2021-08-15 01:45","0.9839","0.9696","0.9847","0.9975"
"2021-08-15 01:50","0.9855","0.9743","0.9845","0.9977"
"2021-08-15 01:55","0.9861","0.9772","0.9836","0.9977"
"2021-08-15 02:00","0.9828","0.9664","0.9844","0.9977"
"2021-08-15 02:05","0.9822","0.9646","0.9845","0.9976"
"2021-08-15 02:10","0.9825","0.9653","0.9845","0.9978"
"2021-08-15 02:15","0.9825","0.966","0.9836","0.9981"
"2021-08-15 02:20","0.9801","0.9681","0.9745","0.9979"
"2021-08-15 02:25","0.9764","0.9671","0.964","0.9981"
"2021-08-15 02:30","0.9821","0.9747","0.9747","0.9969"
"2021-08-15 02:35","0.9825","0.9718","0.9795","0.9962"
"2021-08-15 02:40","0.9762","0.9632","0.9691","0.9964"
"2021-08-15 02:45","0.978","0.9683","0.9691","0.9966"
"2021-08-15 02:50","0.9836","0.9735","0.9811","0.9964"
"2021-08-15 02:55","0.984","0.979","0.9768","0.9964"
"2021-08-15 03:00","0.9809","0.98","0.9664","0.9965"
"2021-08-15 03:05","0.9856","0.9843","0.9756","0.9969"
"2021-08-15 03:10","0.9851","0.9804","0.9777","0.9972"
"2021-08-15 03:15","0.9814","0.9772","0.9698","0.9973"
"2021-08-15 03:20","0.9854","0.9814","0.9776","0.9972"
"2021-08-15 03:25","0.9833","0.9823","0.9713","0.9964"
"2021-08-15 03:30","0.9824","0.978","0.9729","0.9964"
"2021-08-15 03:35","0.9824","0.9731","0.9778","0.9964"
"2021-08-15 03:40","0.9795","0.9716","0.9708","0.9963"
"2021-08-15 03:45","0.9827","0.9731","0.9789","0.9963"
"2021-08-15 03:50","0.9781","0.9655","0.9729","0.9961"
"2021-08-15 03:55","0.9792","0.9666","0.9749","0.9962"
"2021-08-15 04:00","0.9817","0.9711","0.9778","0.9963"
"2021-08-15 04:05","0.9806","0.9736","0.9711","0.9971"
"2021-08-15 04:10","0.982","0.9714","0.9778","0.9969"
"2021-08-15 04:15","0.9771","0.9629","0.9731","0.9954"
"2021-08-15 04:20","0.9748","0.9598","0.9757","0.9889"
"2021-08-15 04:25","0.9785","0.9674","0.9778","0.9905"
"2021-08-15 04:30","0.9762","0.9624","0.9724","0.994"
"2021-08-15 04:35","0.9815","0.9684","0.98","0.9963"
"2021-08-15 04:40","0.9775","0.9611","0.9756","0.996"
"2021-08-15 04:45","0.9784","0.9654","0.9741","0.9959"
"2021-08-15 04:50","0.9804","0.9718","0.9744","0.995"
"2021-08-15 04:55","0.9751","0.964","0.9712","0.9903"
"2021-08-15 05:00","0.9748","0.9572","0.9765","0.9908"
"2021-08-15 05:05","0.9752","0.9635","0.9667","0.9954"
"2021-08-15 05:10","0.9763","0.9588","0.9734","0.9968"
"2021-08-15 05:15","0.9757","0.9618","0.9685","0.9968"
"2021-08-15 05:20","0.9764","0.9637","0.9698","0.9957"
"2021-08-15 05:25","0.9797","0.9695","0.974","0.9957"
"2021-08-15 05:30","0.9783","0.9719","0.9671","0.996"
"2021-08-15 05:35","0.9786","0.9669","0.9725","0.9964"
"2021-08-15 05:40","0.9761","0.9603","0.9713","0.9969"
"2021-08-15 05:45","0.9729","0.9537","0.9689","0.9961"
"2021-08-15 05:50","0.9766","0.966","0.9679","0.9959"
"2021-08-15 05:55","0.9787","0.9671","0.9731","0.996"
"2021-08-15 06:00","0.978","0.9691","0.9688","0.9963"
"2021-08-15 06:05","0.9726","0.9576","0.9698","0.9905"
"2021-08-15 06:10","0.9804","0.9726","0.9724","0.9963"
"2021-08-15 06:15","0.9769","0.9685","0.9662","0.9962"
"2021-08-15 06:20","0.9745","0.9541","0.9735","0.9961"
"2021-08-15 06:25","0.9745","0.9596","0.9673","0.9968"
"2021-08-15 06:30","0.9802","0.9699","0.9737","0.997"
"2021-08-15 06:35","0.9785","0.9675","0.9712","0.997"
"2021-08-15 06:40","0.9766","0.9646","0.9672","0.998"
"2021-08-15 06:45","0.9796","0.9664","0.9748","0.9977"
"2021-08-15 06:50","0.9772","0.968","0.9677","0.9961"
"2021-08-15 06:55","0.9776","0.9675","0.9729","0.9924"
"2021-08-15 07:00","0.9727","0.9552","0.9736","0.9894"
"2021-08-15 07:05","0.9728","0.96","0.967","0.9914"
"2021-08-15 07:10","0.9769","0.9606","0.9742","0.9959"
"2021-08-15 07:15","0.9799","0.971","0.9728","0.9959"
"2021-08-15 07:20","0.9829","0.9763","0.9767","0.9957"
"2021-08-15 07:25","0.9831","0.9749","0.9781","0.9964"
"2021-08-15 07:30","0.979","0.9682","0.9727","0.9962"
"2021-08-15 07:35","0.979","0.9659","0.9773","0.994"
"2021-08-15 07:40","0.9779","0.9676","0.9749","0.9914"
"2021-08-15 07:45","0.9772","0.9668","0.975","0.99"
"2021-08-15 07:50","0.9794","0.965","0.978","0.9952"
"2021-08-15 07:55","0.9775","0.9656","0.9711","0.9958"
"2021-08-15 08:00","0.9773","0.958","0.9784","0.9955"
"2021-08-15 08:05","0.9798","0.9694","0.9745","0.9955"
"2021-08-15 08:10","0.979","0.9676","0.9741","0.9954"
"2021-08-15 08:15","0.9751","0.9567","0.9785","0.9901"
"2021-08-15 08:20","0.9768","0.9704","0.9717","0.9884"
"2021-08-15 08:25","0.9797","0.9687","0.9788","0.9918"
"2021-08-15 08:30","0.9779","0.9623","0.9748","0.9967"
"2021-08-15 08:35","0.9769","0.9612","0.9731","0.9965"
"2021-08-15 08:40","0.9821","0.9714","0.979","0.9961"
"2021-08-15 08:45","0.98","0.9715","0.9731","0.9956"
"2021-08-15 08:50","0.978","0.9627","0.9774","0.9941"
"2021-08-15 08:55","0.971","0.95","0.9752","0.988"
"2021-08-15 09:00","0.9752","0.9648","0.9726","0.9884"
"2021-08-15 09:05","0.9807","0.9714","0.9801","0.9908"
"2021-08-15 09:10","0.9796","0.9729","0.9705","0.9955"
"2021-08-15 09:15","0.9851","0.9817","0.9782","0.9954"
"2021-08-15 09:20","0.9866","0.977","0.9877","0.9953"
"2021-08-15 09:25","0.9866","0.9745","0.9905","0.9949"
"2021-08-15 09:30","0.9765","0.9786","0.9559","0.995"
"2021-08-15 09:35","0.9584","0.9634","0.9268","0.985"
"2021-08-15 09:40","0.9635","0.9658","0.9395","0.9853"
"2021-08-15 09:45","0.9754","0.9624","0.9789","0.9851"
"2021-08-15 09:50","0.9784","0.9625","0.9815","0.9912"
"2021-08-15 09:55","0.9809","0.9738","0.9741","0.995"
"2021-08-15 10:00","0.9788","0.9721","0.9697","0.9948"
"2021-08-15 10:05","0.9816","0.9674","0.9827","0.9947"
"2021-08-15 10:10","0.9784","0.9511","0.9895","0.9948"
"2021-08-15 10:15","0.9772","0.9592","0.9909","0.9815"
"2021-08-15 10:20","0.9747","0.9655","0.9891","0.9697"
"2021-08-15 10:25","0.9753","0.9684","0.9887","0.9688"
"2021-08-15 10:30","0.9815","0.9638","0.9884","0.9925"
"2021-08-15 10:35","0.9845","0.9699","0.9888","0.995"
"2021-08-15 10:40","0.9868","0.9767","0.9888","0.995"
"2021-08-15 10:45","0.9836","0.9683","0.9888","0.9939"
"2021-08-15 10:50","0.9806","0.961","0.9875","0.9935"
"2021-08-15 10:55","0.9418","0.8708","0.9713","0.9833"
"2021-08-15 11:00","0.896","0.801","0.9594","0.9278"
"2021-08-15 11:05","0.8972","0.8137","0.9647","0.9134"
"2021-08-15 11:10","0.9051","0.8382","0.964","0.9133"
"2021-08-15 11:15","0.9217","0.815","0.9633","0.987"
"2021-08-15 11:20","0.9212","0.8012","0.9641","0.9984"
"2021-08-15 11:25","0.9132","0.7777","0.9633","0.9986"
"2021-08-15 11:30","0.914","0.7811","0.9617","0.9994"
"2021-08-15 11:35","0.9121","0.8075","0.9439","0.9851"
"2021-08-15 11:40","0.9146","0.8254","0.946","0.9726"
"2021-08-15 11:45","0.9053","0.8193","0.9462","0.9504"
"2021-08-15 11:50","0.8941","0.7985","0.9459","0.938"
"2021-08-15 11:55","0.9053","0.7715","0.9454","0.999"
"2021-08-15 12:00","0.9132","0.7951","0.9458","0.9989"
"2021-08-15 12:05","0.9188","0.8124","0.9459","0.9982"
