"Time stamp","Main 1   (A)","Main 1 L1   (A)","Main 1 L2   (A)","Main 1 L3   (A)"
"2021-07-31 00:00","36.92","49.29","14.27","47.2"
"2021-07-31 00:05","37.49","50.37","15.89","46.2"
"2021-07-31 00:10","37.59","52.94","14.48","45.34"
"2021-07-31 00:15","37.07","50.59","15.19","45.44"
"2021-07-31 00:20","36.63","49.28","15.39","45.23"
"2021-07-31 00:25","36.67","50.18","14.41","45.44"
"2021-07-31 00:30","37.83","51.97","16.36","45.17"
"2021-07-31 00:35","38.15","54.21","14.52","45.72"
"2021-07-31 00:40","37.13","50.84","15.35","45.21"
"2021-07-31 00:45","36.97","49.44","15.46","46.0"
"2021-07-31 00:50","37.36","52.52","14.63","44.94"
"2021-07-31 00:55","36.64","49.47","16.16","44.28"
"2021-07-31 01:00","36.03","48.86","14.34","44.89"
"2021-07-31 01:05","36.53","48.1","16.45","45.05"
"2021-07-31 01:10","36.12","47.86","15.05","45.45"
"2021-07-31 01:15","37.38","51.9","15.28","44.96"
"2021-07-31 01:20","36.84","49.64","16.29","44.58"
"2021-07-31 01:25","34.15","43.15","14.94","44.36"
"2021-07-31 01:30","36.07","47.42","16.24","44.54"
"2021-07-31 01:35","37.65","51.55","16.39","45.0"
"2021-07-31 01:40","37.25","52.04","15.38","44.33"
"2021-07-31 01:45","35.05","46.13","15.19","43.84"
"2021-07-31 01:50","34.55","43.37","16.66","43.61"
"2021-07-31 01:55","34.55","45.26","14.9","43.48"
"2021-07-31 02:00","36.42","49.32","16.63","43.32"
"2021-07-31 02:05","35.34","47.5","15.16","43.37"
"2021-07-31 02:10","35.88","48.38","15.93","43.34"
"2021-07-31 02:15","34.36","43.26","16.14","43.69"
"2021-07-31 02:20","34.77","46.0","15.16","43.16"
"2021-07-31 02:25","34.73","45.12","16.68","42.37"
"2021-07-31 02:30","35.73","48.49","15.25","43.46"
"2021-07-31 02:35","36.34","49.81","15.77","43.46"
"2021-07-31 02:40","35.31","46.14","16.32","43.48"
"2021-07-31 02:45","35.41","47.56","15.15","43.52"
"2021-07-31 02:50","34.32","43.86","15.64","43.45"
"2021-07-31 02:55","34.94","45.69","16.13","43.01"
"2021-07-31 03:00","34.01","44.99","14.22","42.83"
"2021-07-31 03:05","33.55","46.0","16.41","38.24"
"2021-07-31 03:10","31.19","48.19","15.2","30.2"
"2021-07-31 03:15","30.97","46.52","15.68","30.71"
"2021-07-31 03:20","30.08","45.49","15.29","29.47"
"2021-07-31 03:25","29.68","43.96","14.7","30.39"
"2021-07-31 03:30","31.04","46.8","15.66","30.65"
"2021-07-31 03:35","29.42","44.63","13.95","29.68"
"2021-07-31 03:40","18.16","26.44","9.62","18.44"
"2021-07-31 03:45","13.9","19.65","7.21","14.84"
"2021-07-31 03:50","14.78","22.38","7.2","14.75"
"2021-07-31 03:55","14.61","20.49","8.6","14.74"
"2021-07-31 04:00","14.38","19.98","8.46","14.72"
"2021-07-31 04:05","13.76","18.18","8.4","14.69"
"2021-07-31 04:10","14.76","21.16","8.42","14.69"
"2021-07-31 04:15","14.63","20.69","8.52","14.68"
"2021-07-31 04:20","14.77","21.09","8.52","14.7"
"2021-07-31 04:25","14.46","20.16","8.52","14.71"
"2021-07-31 04:30","14.19","18.98","8.52","15.08"
"2021-07-31 04:35","14.31","19.39","8.52","15.03"
"2021-07-31 04:40","14.02","18.52","8.52","15.03"
"2021-07-31 04:45","15.02","21.51","8.52","15.03"
"2021-07-31 04:50","15.2","22.04","8.52","15.03"
"2021-07-31 04:55","14.79","21.15","8.52","14.71"
"2021-07-31 05:00","11.46","19.29","8.52","6.58"
"2021-07-31 05:05","10.5","19.34","8.52","3.64"
"2021-07-31 05:10","11.63","17.96","8.52","8.42"
"2021-07-31 05:15","14.88","21.43","8.52","14.69"
"2021-07-31 05:20","15.5","23.33","8.45","14.71"
"2021-07-31 05:25","13.88","19.36","7.61","14.69"
"2021-07-31 05:30","12.78","15.09","8.56","14.68"
"2021-07-31 05:35","11.97","14.88","8.56","12.48"
