"Time stamp","Main 1   ()","Main 1 L1   ()","Main 1 L2   ()","Main 1 L3   ()"
"2021-08-21 00:00","0.9763","0.9571","0.9764","0.9954"
"2021-08-21 00:05","0.9745","0.9493","0.9798","0.9945"
"2021-08-21 00:10","0.9779","0.9673","0.9707","0.9959"
"2021-08-21 00:15","0.9725","0.9736","0.9476","0.9963"
"2021-08-21 00:20","0.9671","0.9568","0.9488","0.9959"
"2021-08-21 00:25","0.9714","0.9596","0.9596","0.9952"
"2021-08-21 00:30","0.9801","0.9663","0.9785","0.9955"
"2021-08-21 00:35","0.9819","0.9752","0.9746","0.9961"
"2021-08-21 00:40","0.9702","0.9514","0.9635","0.9959"
"2021-08-21 00:45","0.9779","0.9638","0.9742","0.9957"
"2021-08-21 00:50","0.9818","0.9683","0.9807","0.9965"
"2021-08-21 00:55","0.9728","0.9673","0.9548","0.9965"
"2021-08-21 01:00","0.972","0.9694","0.9505","0.9961"
"2021-08-21 01:05","0.9701","0.966","0.9513","0.9931"
"2021-08-21 01:10","0.9673","0.9557","0.9516","0.9948"
"2021-08-21 01:15","0.9711","0.9656","0.9515","0.9963"
"2021-08-21 01:20","0.9702","0.9631","0.9513","0.9964"
"2021-08-21 01:25","0.9682","0.9574","0.952","0.9953"
"2021-08-21 01:30","0.9679","0.957","0.9516","0.9952"
"2021-08-21 01:35","0.9733","0.972","0.952","0.9959"
"2021-08-21 01:40","0.9748","0.9762","0.952","0.9963"
"2021-08-21 01:45","0.9707","0.9644","0.9516","0.9961"
"2021-08-21 01:50","0.9688","0.9591","0.952","0.9955"
"2021-08-21 01:55","0.9717","0.9664","0.9535","0.9954"
"2021-08-21 02:00","0.9797","0.983","0.9598","0.9964"
"2021-08-21 02:05","0.9761","0.9811","0.9508","0.9965"
"2021-08-21 02:10","0.9736","0.9737","0.9519","0.9954"
"2021-08-21 02:15","0.9674","0.9568","0.9507","0.9947"
"2021-08-21 02:20","0.9715","0.9677","0.9514","0.9955"
"2021-08-21 02:25","0.97","0.967","0.9473","0.9957"
"2021-08-21 02:30","0.9119","0.7869","0.9647","0.9841"
"2021-08-21 02:35","0.9134","0.7854","0.9706","0.9842"
"2021-08-21 02:40","0.9138","0.7879","0.9696","0.984"
"2021-08-21 02:45","0.9055","0.7723","0.9601","0.9841"
"2021-08-21 02:50","0.8976","0.7703","0.9363","0.9863"
"2021-08-21 02:55","0.9055","0.7938","0.9359","0.9868"
"2021-08-21 03:00","0.8989","0.7762","0.9341","0.9866"
"2021-08-21 03:05","0.8924","0.758","0.9333","0.9859"
"2021-08-21 03:10","0.8982","0.7767","0.9342","0.9839"
"2021-08-21 03:15","0.9069","0.8021","0.9345","0.9843"
"2021-08-21 03:20","0.9051","0.7971","0.9342","0.9842"
"2021-08-21 03:25","0.9046","0.7935","0.9357","0.9846"
"2021-08-21 03:30","0.9044","0.7882","0.941","0.984"
"2021-08-21 03:35","0.9044","0.7882","0.9414","0.9836"
"2021-08-21 03:40","0.8986","0.7712","0.9405","0.9841"
"2021-08-21 03:45","0.9104","0.8059","0.9416","0.9839"
"2021-08-21 03:50","0.9037","0.785","0.9398","0.9864"
"2021-08-21 03:55","0.8978","0.7673","0.9398","0.9863"
"2021-08-21 04:00","0.8977","0.7646","0.9424","0.9862"
"2021-08-21 04:05","0.915","0.8202","0.9398","0.985"
