"Time stamp","Main 1   (A)","Main 1 L1   (A)","Main 1 L2   (A)","Main 1 L3   (A)"
"2021-08-03 00:00","17.67","17.34","8.2","27.48"
"2021-08-03 00:05","18.21","19.28","8.2","27.14"
"2021-08-03 00:10","18.53","21.25","8.21","26.13"
"2021-08-03 00:15","17.12","17.2","8.25","25.9"
"2021-08-03 00:20","17.31","17.77","8.26","25.9"
"2021-08-03 00:25","18.25","20.56","8.28","25.92"
"2021-08-03 00:30","17.05","17.0","8.26","25.9"
"2021-08-03 00:35","17.92","19.53","8.27","25.96"
"2021-08-03 00:40","18.09","20.06","8.28","25.93"
"2021-08-03 00:45","17.02","16.85","8.28","25.94"
"2021-08-03 00:50","17.31","17.68","8.28","25.97"
"2021-08-03 00:55","18.31","20.52","8.28","26.14"
"2021-08-03 01:00","18.02","19.39","8.28","26.39"
"2021-08-03 01:05","17.88","18.94","8.3","26.4"
"2021-08-03 01:10","18.48","20.74","8.32","26.4"
"2021-08-03 01:15","17.14","16.77","8.31","26.33"
"2021-08-03 01:20","17.71","18.23","8.53","26.37"
"2021-08-03 01:25","17.99","19.18","8.55","26.24"
"2021-08-03 01:30","17.65","18.39","8.53","26.03"
"2021-08-03 01:35","17.33","17.42","8.53","26.03"
"2021-08-03 01:40","17.06","16.64","8.52","26.02"
"2021-08-03 01:45","17.18","16.98","8.52","26.03"
"2021-08-03 01:50","17.54","18.07","8.52","26.04"
"2021-08-03 01:55","18.69","21.5","8.54","26.03"
"2021-08-03 02:00","16.35","20.81","8.56","19.68"
"2021-08-03 02:05","13.96","19.15","8.56","14.17"
"2021-08-03 02:10","14.14","20.53","7.72","14.19"
"2021-08-03 02:15","13.44","18.52","7.35","14.45"
"2021-08-03 02:20","13.95","19.93","7.35","14.56"
"2021-08-03 02:25","12.71","19.93","7.16","11.04"
"2021-08-03 02:30","8.0","15.29","7.13","1.58"
"2021-08-03 02:35","8.9","17.82","7.32","1.57"
"2021-08-03 02:40","13.92","20.0","8.12","13.62"
"2021-08-03 02:45","12.0","16.8","8.53","10.67"
"2021-08-03 02:50","14.58","17.5","8.49","17.76"
"2021-08-03 02:55","16.93","19.11","8.38","23.29"
"2021-08-03 03:00","13.26","18.78","8.14","12.85"
"2021-08-03 03:05","14.1","16.78","6.5","19.02"
"2021-08-03 03:10","10.48","19.64","6.46","5.33"
"2021-08-03 03:15","8.78","17.0","6.44","2.88"
"2021-08-03 03:20","11.86","15.71","6.44","13.44"
"2021-08-03 03:25","12.02","21.77","6.48","7.79"
"2021-08-03 03:30","15.01","16.66","6.48","21.9"
"2021-08-03 03:35","14.01","15.93","6.48","19.63"
"2021-08-03 03:40","14.22","20.87","6.48","15.32"
"2021-08-03 03:45","16.35","17.43","6.48","25.15"
"2021-08-03 03:50","8.11","16.82","6.48","1.04"
"2021-08-03 03:55","10.85","16.92","6.48","9.15"
"2021-08-03 04:00","10.85","17.41","6.48","8.67"
"2021-08-03 04:05","12.28","17.35","6.48","13.0"
"2021-08-03 04:10","17.02","19.34","6.48","25.25"
"2021-08-03 04:15","12.75","18.14","6.47","13.65"
"2021-08-03 04:20","14.06","14.8","6.46","20.93"
"2021-08-03 04:25","14.46","18.51","6.48","18.41"
"2021-08-03 04:30","9.33","20.28","6.48","1.22"
"2021-08-03 04:35","13.04","19.15","6.48","13.48"
"2021-08-03 04:40","9.05","17.78","6.48","2.89"
"2021-08-03 04:45","15.1","19.16","6.48","19.65"
"2021-08-03 04:50","14.89","16.72","6.45","21.5"
"2021-08-03 04:55","11.92","16.17","6.45","13.15"
"2021-08-03 05:00","16.66","17.98","6.46","25.56"
"2021-08-03 05:05","10.25","9.91","6.44","14.39"
"2021-08-03 05:10","9.94","9.03","6.44","14.34"
"2021-08-03 05:15","9.67","13.03","6.44","9.54"
"2021-08-03 05:20","4.54","6.29","6.44","0.88"
"2021-08-03 05:25","8.94","7.04","6.44","13.34"
"2021-08-03 05:30","10.77","8.87","6.44","16.99"
"2021-08-03 05:35","9.87","5.75","6.44","17.41"
"2021-08-03 05:40","12.9","9.72","6.44","22.53"
"2021-08-03 05:45","10.44","12.6","6.44","12.29"
"2021-08-03 05:50","13.25","10.36","6.44","22.96"
"2021-08-03 05:55","6.96","8.74","6.42","5.72"
"2021-08-03 06:00","6.18","8.44","6.4","3.7"
"2021-08-03 06:05","9.97","10.11","6.42","13.38"
"2021-08-03 06:10","9.31","9.33","6.4","12.21"
"2021-08-03 06:15","12.19","7.96","6.44","22.18"
"2021-08-03 06:20","12.97","13.36","6.48","19.07"
"2021-08-03 06:25","10.62","10.54","6.47","14.84"
"2021-08-03 06:30","16.57","18.09","6.48","25.14"
"2021-08-03 06:35","11.57","20.98","6.48","7.25"
"2021-08-03 06:40","9.85","16.17","6.44","6.93"
"2021-08-03 06:45","10.74","16.58","6.44","9.19"
"2021-08-03 06:50","9.49","17.35","6.44","4.68"
"2021-08-03 06:55","15.33","14.47","6.44","25.08"
"2021-08-03 07:00","10.56","9.64","6.4","15.64"
"2021-08-03 07:05","11.32","10.22","6.4","17.34"
"2021-08-03 07:10","12.83","10.01","6.43","22.06"
"2021-08-03 07:15","9.74","10.81","6.47","11.94"
"2021-08-03 07:20","9.64","12.39","6.46","10.07"
"2021-08-03 07:25","7.82","11.55","6.46","5.44"
"2021-08-03 07:30","7.04","9.86","6.44","4.81"
"2021-08-03 07:35","13.36","8.14","6.44","25.49"
