"Time stamp","Main 1   ()","Main 1 L1   ()","Main 1 L2   ()","Main 1 L3   ()"
"2021-08-12 00:00","0.9727","0.9707","0.9497","0.9979"
"2021-08-12 00:05","0.9735","0.9711","0.951","0.9985"
"2021-08-12 00:10","0.9712","0.965","0.9505","0.9983"
"2021-08-12 00:15","0.9718","0.9667","0.9509","0.9978"
"2021-08-12 00:20","0.9735","0.971","0.9515","0.9981"
"2021-08-12 00:25","0.9744","0.9731","0.9518","0.9983"
"2021-08-12 00:30","0.9774","0.9808","0.9537","0.9977"
"2021-08-12 00:35","0.9746","0.973","0.9532","0.9976"
"2021-08-12 00:40","0.9761","0.9772","0.9531","0.9981"
"2021-08-12 00:45","0.9766","0.9787","0.9532","0.998"
"2021-08-12 00:50","0.9741","0.9728","0.9519","0.9978"
"2021-08-12 00:55","0.9719","0.9655","0.9527","0.9976"
"2021-08-12 01:00","0.9747","0.9744","0.952","0.9977"
"2021-08-12 01:05","0.9732","0.9692","0.9528","0.9977"
"2021-08-12 01:10","0.9731","0.9598","0.9621","0.9976"
"2021-08-12 01:15","0.9718","0.9653","0.9526","0.9977"
"2021-08-12 01:20","0.9692","0.9581","0.9516","0.9979"
"2021-08-12 01:25","0.9721","0.967","0.9515","0.998"
"2021-08-12 01:30","0.9726","0.9691","0.9507","0.998"
"2021-08-12 01:35","0.9726","0.9696","0.9506","0.9977"
"2021-08-12 01:40","0.9715","0.9648","0.9521","0.9978"
"2021-08-12 01:45","0.9746","0.9747","0.9516","0.9977"
"2021-08-12 01:50","0.9669","0.9477","0.9541","0.9989"
"2021-08-12 01:55","0.9653","0.9422","0.9549","0.999"
"2021-08-12 02:00","0.9653","0.9484","0.9486","0.9989"
"2021-08-12 02:05","0.9592","0.9444","0.9344","0.9989"
"2021-08-12 02:10","0.9557","0.9334","0.9347","0.9992"
"2021-08-12 02:15","0.9571","0.9373","0.9347","0.9993"
"2021-08-12 02:20","0.9607","0.9481","0.935","0.999"
"2021-08-12 02:25","0.9592","0.9444","0.9344","0.9988"
"2021-08-12 02:30","0.9582","0.9418","0.9336","0.9993"
"2021-08-12 02:35","0.9544","0.9309","0.9332","0.9991"
"2021-08-12 02:40","0.9576","0.94","0.9337","0.9992"
"2021-08-12 02:45","0.9611","0.9499","0.9346","0.9988"
"2021-08-12 02:50","0.9597","0.945","0.9349","0.9992"
"2021-08-12 02:55","0.9612","0.9502","0.9344","0.9992"
"2021-08-12 03:00","0.9551","0.9334","0.933","0.9991"
"2021-08-12 03:05","0.932","0.9344","0.9337","0.9281"
"2021-08-12 03:10","0.8594","0.9484","0.9345","0.6955"
"2021-08-12 03:15","0.8592","0.945","0.9344","0.6984"
"2021-08-12 03:20","0.8764","0.9531","0.9329","0.7433"
