"Time stamp","Main 1   (V)","Main 1 L1   (V)","Main 1 L2   (V)","Main 1 L3   (V)"
"2021-08-09 00:00","251.36","250.91","251.11","252.06"
"2021-08-09 00:05","251.78","251.36","251.58","252.42"
"2021-08-09 00:10","252.18","251.79","251.98","252.78"
"2021-08-09 00:15","251.7","251.3","251.5","252.3"
"2021-08-09 00:20","251.85","251.48","251.57","252.51"
"2021-08-09 00:25","252.28","252.04","251.94","252.86"
"2021-08-09 00:30","252.4","252.14","252.1","252.98"
"2021-08-09 00:35","252.29","251.84","252.11","252.93"
"2021-08-09 00:40","252.21","251.69","252.0","252.96"
"2021-08-09 00:45","252.48","251.96","252.18","253.3"
"2021-08-09 00:50","252.46","251.99","252.18","253.22"
"2021-08-09 00:55","252.64","252.18","252.45","253.3"
"2021-08-09 01:00","252.13","251.65","251.98","252.76"
"2021-08-09 01:05","252.27","251.84","252.06","252.91"
"2021-08-09 01:10","252.65","252.23","252.48","253.25"
"2021-08-09 01:15","252.88","252.43","252.68","253.54"
"2021-08-09 01:20","252.92","252.51","252.76","253.51"
"2021-08-09 01:25","253.05","252.57","252.96","253.63"
"2021-08-09 01:30","252.88","252.43","252.71","253.51"
"2021-08-09 01:35","252.65","252.18","252.44","253.33"
"2021-08-09 01:40","252.94","252.45","252.8","253.59"
"2021-08-09 01:45","252.95","252.5","252.8","253.57"
"2021-08-09 01:50","253.01","252.47","252.83","253.73"
"2021-08-09 01:55","253.18","252.62","253.03","253.89"
"2021-08-09 02:00","253.13","252.66","252.96","253.77"
"2021-08-09 02:05","253.36","252.82","253.17","254.09"
"2021-08-09 02:10","253.26","252.71","253.09","253.99"
"2021-08-09 02:15","253.32","252.76","253.13","254.09"
"2021-08-09 02:20","253.32","252.78","253.1","254.09"
"2021-08-09 02:25","253.49","253.02","253.23","254.23"
"2021-08-09 02:30","253.32","252.76","253.13","254.09"
"2021-08-09 02:35","253.41","252.76","253.3","254.18"
"2021-08-09 02:40","253.54","252.97","253.42","254.23"
"2021-08-09 02:45","253.72","253.16","253.57","254.43"
"2021-08-09 02:50","253.53","252.88","253.45","254.26"
"2021-08-09 02:55","253.24","252.65","253.1","253.97"
"2021-08-09 03:00","253.28","252.73","253.12","254.0"
"2021-08-09 03:05","253.47","252.82","253.29","254.3"
"2021-08-09 03:10","253.8","253.21","253.58","254.63"
"2021-08-09 03:15","252.98","252.4","252.78","253.77"
"2021-08-09 03:20","252.37","251.76","252.22","253.13"
"2021-08-09 03:25","252.46","251.89","252.29","253.22"
"2021-08-09 03:30","252.48","251.96","252.3","253.18"
"2021-08-09 03:35","252.67","252.14","252.52","253.37"
"2021-08-09 03:40","252.79","252.27","252.56","253.55"
"2021-08-09 03:45","252.66","251.99","252.48","253.52"
"2021-08-09 03:50","252.69","252.09","252.46","253.54"
"2021-08-09 03:55","252.61","252.16","252.44","253.25"
"2021-08-09 04:00","252.51","252.07","252.31","253.16"
"2021-08-09 04:05","252.53","252.02","252.37","253.2"
"2021-08-09 04:10","252.38","251.85","252.16","253.14"
"2021-08-09 04:15","252.06","251.53","251.86","252.8"
"2021-08-09 04:20","252.15","251.57","251.91","252.99"
"2021-08-09 04:25","252.35","251.75","252.11","253.19"
"2021-08-09 04:30","252.45","251.88","252.16","253.31"
"2021-08-09 04:35","252.14","251.52","251.95","252.95"
"2021-08-09 04:40","251.81","251.23","251.64","252.58"
"2021-08-09 04:45","251.83","251.33","251.59","252.58"
"2021-08-09 04:50","252.12","251.56","251.84","252.98"
"2021-08-09 04:55","252.05","251.52","251.85","252.79"
"2021-08-09 05:00","251.71","251.26","251.41","252.48"
"2021-08-09 05:05","251.77","251.13","251.47","252.72"
"2021-08-09 05:10","251.71","251.11","251.37","252.66"
"2021-08-09 05:15","251.33","250.74","251.03","252.22"
"2021-08-09 05:20","251.29","250.69","251.09","252.11"
"2021-08-09 05:25","251.31","250.74","251.04","252.17"
"2021-08-09 05:30","251.24","250.7","250.99","252.05"
"2021-08-09 05:35","251.05","250.43","250.81","251.91"
"2021-08-09 05:40","250.88","250.41","250.56","251.69"
"2021-08-09 05:45","250.43","249.84","250.13","251.32"
"2021-08-09 05:50","250.26","249.54","250.04","251.2"
"2021-08-09 05:55","249.63","248.97","249.39","250.54"
"2021-08-09 06:00","250.48","249.8","250.3","251.34"
"2021-08-09 06:05","250.03","249.42","249.8","250.89"
"2021-08-09 06:10","249.62","248.98","249.34","250.55"
"2021-08-09 06:15","250.03","249.44","249.73","250.94"
"2021-08-09 06:20","249.96","249.31","249.68","250.89"
"2021-08-09 06:25","249.53","248.87","249.15","250.57"
"2021-08-09 06:30","249.68","249.11","249.21","250.74"
"2021-08-09 06:35","249.6","248.97","249.11","250.74"
"2021-08-09 06:40","249.27","248.68","248.86","250.28"
"2021-08-09 06:45","249.54","248.96","249.18","250.48"
"2021-08-09 06:50","250.2","249.62","249.84","251.14"
"2021-08-09 06:55","249.66","249.12","249.23","250.63"
"2021-08-09 07:00","249.51","248.88","249.09","250.57"
"2021-08-09 07:05","250.56","249.97","250.04","251.69"
"2021-08-09 07:10","250.05","249.33","249.58","251.25"
"2021-08-09 07:15","250.01","249.31","249.57","251.16"
"2021-08-09 07:20","249.95","249.31","249.55","251.0"
"2021-08-09 07:25","249.8","249.17","249.41","250.84"
"2021-08-09 07:30","249.35","248.76","248.86","250.45"
"2021-08-09 07:35","250.05","249.4","249.53","251.22"
"2021-08-09 07:40","250.51","249.85","250.13","251.55"
"2021-08-09 07:45","250.58","250.04","250.02","251.68"
"2021-08-09 07:50","253.1","252.47","252.58","254.27"
"2021-08-09 07:55","252.39","251.69","251.86","253.62"
"2021-08-09 08:00","251.64","250.93","251.15","252.84"
"2021-08-09 08:05","251.24","250.47","250.77","252.5"
"2021-08-09 08:10","251.42","250.64","251.01","252.63"
"2021-08-09 08:15","252.05","251.44","251.58","253.15"
"2021-08-09 08:20","251.93","251.22","251.44","253.13"
"2021-08-09 08:25","251.39","250.58","250.98","252.62"
"2021-08-09 08:30","251.23","250.49","250.81","252.4"
"2021-08-09 08:35","251.14","250.41","250.64","252.38"
"2021-08-09 08:40","250.98","250.2","250.51","252.24"
"2021-08-09 08:45","250.32","249.63","249.8","251.55"
"2021-08-09 08:50","249.99","249.32","249.55","251.11"
"2021-08-09 08:55","250.08","249.3","249.53","251.42"
"2021-08-09 09:00","251.87","251.06","251.39","253.16"
"2021-08-09 09:05","252.29","251.52","251.77","253.58"
"2021-08-09 09:10","251.93","250.97","251.42","253.4"
"2021-08-09 09:15","251.49","250.32","251.23","252.94"
"2021-08-09 09:20","251.46","250.24","251.08","253.06"
"2021-08-09 09:25","251.48","250.22","251.32","252.9"
"2021-08-09 09:30","251.73","250.53","251.37","253.3"
"2021-08-09 09:35","251.67","250.65","251.4","252.97"
"2021-08-09 09:40","251.34","250.3","251.06","252.66"
"2021-08-09 09:45","251.27","250.28","251.0","252.53"
"2021-08-09 09:50","251.02","250.04","250.78","252.26"
"2021-08-09 09:55","250.92","249.98","250.62","252.17"
"2021-08-09 10:00","250.85","249.87","250.41","252.27"
"2021-08-09 10:05","250.88","249.75","250.55","252.36"
"2021-08-09 10:10","250.85","249.67","250.45","252.43"
"2021-08-09 10:15","250.73","249.62","250.52","252.07"
"2021-08-09 10:20","250.62","249.7","250.24","251.93"
"2021-08-09 10:25","250.51","249.38","250.19","251.97"
"2021-08-09 10:30","250.54","249.31","250.34","251.99"
"2021-08-09 10:35","250.13","249.24","249.75","251.42"
"2021-08-09 10:40","249.55","248.62","249.09","250.94"
"2021-08-09 10:45","249.28","248.19","248.95","250.71"
"2021-08-09 10:50","248.79","247.69","248.42","250.26"
"2021-08-09 10:55","248.97","248.02","248.6","250.29"
"2021-08-09 11:00","249.3","248.29","248.94","250.67"
"2021-08-09 11:05","248.95","248.04","248.54","250.27"
"2021-08-09 11:10","248.78","247.95","248.38","250.01"
"2021-08-09 11:15","248.89","247.9","248.51","250.28"
"2021-08-09 11:20","248.95","247.86","248.47","250.52"
"2021-08-09 11:25","248.94","247.93","248.41","250.5"
"2021-08-09 11:30","248.87","247.9","248.47","250.24"
"2021-08-09 11:35","248.41","247.35","248.15","249.74"
"2021-08-09 11:40","250.48","249.48","250.17","251.81"
"2021-08-09 11:45","250.88","250.02","250.49","252.14"
"2021-08-09 11:50","250.96","250.03","250.59","252.26"
"2021-08-09 11:55","250.87","249.86","250.47","252.3"
"2021-08-09 12:00","250.87","249.78","250.41","252.43"
"2021-08-09 12:05","251.06","250.0","250.76","252.44"
"2021-08-09 12:10","251.1","250.13","250.76","252.42"
"2021-08-09 12:15","251.1","250.2","250.73","252.38"
"2021-08-09 12:20","250.71","249.74","250.41","251.98"
"2021-08-09 12:25","250.61","249.55","250.25","252.03"
"2021-08-09 12:30","250.83","249.77","250.47","252.25"
"2021-08-09 12:35","250.97","250.03","250.53","252.35"
"2021-08-09 12:40","250.52","249.3","250.12","252.16"
"2021-08-09 12:45","249.8","248.45","249.49","251.48"
"2021-08-09 12:50","250.0","248.7","249.73","251.59"
"2021-08-09 12:55","250.09","249.19","249.51","251.57"
"2021-08-09 13:00","249.81","248.88","249.33","251.23"
"2021-08-09 13:05","249.95","248.88","249.57","251.42"
"2021-08-09 13:10","249.95","248.95","249.49","251.42"
"2021-08-09 13:15","250.18","249.11","249.89","251.56"
"2021-08-09 13:20","250.42","249.43","250.07","251.76"
"2021-08-09 13:25","250.21","249.15","249.92","251.57"
"2021-08-09 13:30","250.1","249.08","249.84","251.39"
"2021-08-09 13:35","250.11","249.29","249.65","251.39"
"2021-08-09 13:40","249.64","248.8","249.22","250.9"
"2021-08-09 13:45","249.32","248.51","248.88","250.57"
"2021-08-09 13:50","249.34","248.4","248.95","250.68"
"2021-08-09 13:55","249.31","248.32","248.96","250.65"
"2021-08-09 14:00","249.47","248.58","249.01","250.84"
"2021-08-09 14:05","249.45","248.79","248.86","250.72"
"2021-08-09 14:10","249.74","249.04","249.2","250.99"
"2021-08-09 14:15","249.81","249.09","249.24","251.12"
"2021-08-09 14:20","249.83","249.1","249.32","251.09"
"2021-08-09 14:25","250.12","249.34","249.51","251.52"
"2021-08-09 14:30","249.77","249.13","249.24","250.96"
"2021-08-09 14:35","249.74","249.04","249.19","250.99"
"2021-08-09 14:40","250.29","249.55","249.74","251.6"
"2021-08-09 14:45","250.48","249.71","249.9","251.85"
"2021-08-09 14:50","250.45","249.63","249.82","251.9"
"2021-08-09 14:55","250.39","249.46","249.93","251.8"
"2021-08-09 15:00","250.23","249.42","249.69","251.59"
"2021-08-09 15:05","250.25","249.44","249.7","251.62"
"2021-08-09 15:10","250.16","249.36","249.58","251.56"
"2021-08-09 15:15","250.35","249.58","249.82","251.66"
"2021-08-09 15:20","250.35","249.61","249.81","251.63"
"2021-08-09 15:25","250.67","249.84","250.18","252.01"
"2021-08-09 15:30","250.58","249.68","250.27","251.81"
"2021-08-09 15:35","250.61","249.54","250.41","251.88"
"2021-08-09 15:40","250.45","249.35","250.19","251.81"
"2021-08-09 15:45","250.55","249.52","250.26","251.87"
"2021-08-09 15:50","250.23","249.19","250.06","251.46"
"2021-08-09 15:55","250.23","249.1","250.01","251.59"
"2021-08-09 16:00","250.57","249.37","250.33","252.03"
"2021-08-09 16:05","250.64","249.66","250.41","251.87"
"2021-08-09 16:10","250.6","249.67","250.21","251.93"
"2021-08-09 16:15","250.78","249.88","250.55","251.92"
"2021-08-09 16:20","250.98","250.11","250.6","252.23"
"2021-08-09 16:25","250.95","249.97","250.49","252.41"
"2021-08-09 16:30","250.74","249.65","250.36","252.21"
"2021-08-09 16:35","250.49","249.6","250.09","251.8"
"2021-08-09 16:40","250.7","249.69","250.35","252.06"
"2021-08-09 16:45","250.65","249.53","250.2","252.24"
"2021-08-09 16:50","250.98","249.9","250.51","252.55"
"2021-08-09 16:55","251.49","250.43","251.03","253.02"
"2021-08-09 17:00","251.67","250.61","251.41","253.01"
"2021-08-09 17:05","251.81","250.81","251.56","253.06"
"2021-08-09 17:10","251.84","250.64","251.51","253.37"
"2021-08-09 17:15","251.48","250.4","251.15","252.89"
"2021-08-09 17:20","251.5","250.46","251.14","252.92"
"2021-08-09 17:25","251.86","250.8","251.56","253.24"
"2021-08-09 17:30","251.67","250.6","251.36","253.06"
"2021-08-09 17:35","251.53","250.36","251.34","252.9"
"2021-08-09 17:40","251.89","250.8","251.61","253.28"
"2021-08-09 17:45","251.47","250.37","251.12","252.92"
"2021-08-09 17:50","251.62","250.44","251.39","253.05"
"2021-08-09 17:55","251.73","250.62","251.4","253.17"
"2021-08-09 18:00","252.57","251.36","252.25","254.1"
"2021-08-09 18:05","250.91","249.82","250.46","252.46"
"2021-08-09 18:10","250.33","249.19","249.88","251.93"
"2021-08-09 18:15","250.53","249.46","250.12","252.03"
"2021-08-09 18:20","250.73","249.64","250.39","252.16"
"2021-08-09 18:25","250.48","249.39","250.19","251.86"
"2021-08-09 18:30","250.65","249.62","250.37","251.96"
"2021-08-09 18:35","250.92","249.93","250.67","252.16"
"2021-08-09 18:40","251.06","250.11","250.78","252.31"
"2021-08-09 18:45","251.07","250.04","250.77","252.4"
"2021-08-09 18:50","251.25","250.19","250.98","252.6"
"2021-08-09 18:55","251.14","250.18","250.81","252.44"
"2021-08-09 19:00","251.77","250.87","251.38","253.06"
"2021-08-09 19:05","252.06","251.15","251.63","253.42"
"2021-08-09 19:10","252.14","251.18","251.7","253.55"
"2021-08-09 19:15","252.52","251.53","252.16","253.87"
"2021-08-09 19:20","252.4","251.51","252.03","253.66"
"2021-08-09 19:25","252.58","251.5","252.33","253.93"
"2021-08-09 19:30","252.51","251.48","252.14","253.92"
"2021-08-09 19:35","252.76","251.61","252.51","254.18"
"2021-08-09 19:40","252.85","251.77","252.62","254.18"
"2021-08-09 19:45","252.73","251.78","252.5","253.92"
"2021-08-09 19:50","251.07","250.16","250.89","252.16"
"2021-08-09 19:55","251.32","250.29","251.02","252.66"
"2021-08-09 20:00","251.59","250.73","251.34","252.7"
"2021-08-09 20:05","251.63","250.68","251.31","252.91"
"2021-08-09 20:10","251.34","250.34","251.0","252.68"
"2021-08-09 20:15","251.51","250.46","251.15","252.93"
"2021-08-09 20:20","251.85","250.76","251.62","253.18"
"2021-08-09 20:25","251.72","250.74","251.35","253.07"
"2021-08-09 20:30","251.6","250.58","251.24","253.0"
"2021-08-09 20:35","251.66","250.82","251.33","252.84"
"2021-08-09 20:40","251.48","250.48","251.27","252.69"
"2021-08-09 20:45","251.29","250.41","250.96","252.51"
"2021-08-09 20:50","251.5","250.59","251.31","252.62"
"2021-08-09 20:55","251.58","250.53","251.29","252.94"
"2021-08-09 21:00","252.03","250.98","251.78","253.35"
"2021-08-09 21:05","252.51","251.44","252.25","253.85"
"2021-08-09 21:10","252.81","251.8","252.65","253.99"
"2021-08-09 21:15","252.64","251.64","252.46","253.84"
"2021-08-09 21:20","252.86","251.86","252.7","254.03"
"2021-08-09 21:25","252.14","251.21","252.01","253.2"
"2021-08-09 21:30","251.66","250.74","251.54","252.7"
"2021-08-09 21:35","252.2","251.13","252.12","253.36"
"2021-08-09 21:40","252.02","250.98","251.88","253.21"
"2021-08-09 21:45","251.76","250.75","251.64","252.9"
"2021-08-09 21:50","252.16","250.92","251.92","253.64"
"2021-08-09 21:55","252.73","251.71","252.5","253.98"
"2021-08-09 22:00","253.38","252.37","253.24","254.54"
"2021-08-09 22:05","253.3","252.38","253.03","254.51"
"2021-08-09 22:10","253.78","252.9","253.47","254.97"
"2021-08-09 22:15","251.78","250.85","251.6","252.91"
"2021-08-09 22:20","251.17","250.31","251.01","252.21"
"2021-08-09 22:25","250.98","250.11","250.74","252.1"
"2021-08-09 22:30","251.27","250.2","251.0","252.63"
"2021-08-09 22:35","251.53","250.53","251.23","252.83"
"2021-08-09 22:40","251.64","250.73","251.43","252.76"
"2021-08-09 22:45","251.55","250.74","251.33","252.59"
"2021-08-09 22:50","252.1","251.2","251.92","253.19"
"2021-08-09 22:55","252.39","251.44","252.1","253.65"
"2021-08-09 23:00","253.13","252.22","252.87","254.3"
"2021-08-09 23:05","253.34","252.37","253.13","254.52"
"2021-08-09 23:10","252.4","251.43","252.17","253.6"
"2021-08-09 23:15","252.14","251.17","252.03","253.22"
"2021-08-09 23:20","252.59","251.74","252.44","253.6"
"2021-08-09 23:25","252.91","251.94","252.69","254.12"
"2021-08-09 23:30","253.16","252.21","253.03","254.25"
"2021-08-09 23:35","253.29","252.54","253.24","254.11"
"2021-08-09 23:40","253.11","252.29","253.02","254.03"
"2021-08-09 23:45","253.09","252.36","253.04","253.88"
"2021-08-09 23:50","253.32","252.45","253.21","254.3"
"2021-08-09 23:55","253.54","252.63","253.46","254.54"
"2021-08-10 00:00","253.29","252.4","253.24","254.23"
"2021-08-10 00:05","252.68","251.87","252.66","253.52"
"2021-08-10 00:10","252.79","252.05","252.63","253.7"
