"Time stamp","Main 1   (kWh)","Main 1 L1   (kWh)","Main 1 L2   (kWh)","Main 1 L3   (kWh)"
"2021-08-21 00:00","25.17","10.05","3.56","11.56"
"2021-08-21 01:00","22.78","10.0","2.06","10.72"
"2021-08-21 02:00","15.95","7.23","1.51","7.2"
"2021-08-21 03:00","8.57","3.9","1.12","3.54"
"2021-08-21 04:00","7.19","3.79","1.12","2.27"
"2021-08-21 05:00","8.23","3.91","1.58","2.74"
"2021-08-21 06:00","8.61","3.77","1.8","3.04"
"2021-08-21 07:00","8.61","3.69","1.56","3.35"
"2021-08-21 08:00","7.54","3.69","1.08","2.77"
"2021-08-21 09:00","7.39","3.75","1.05","2.59"
"2021-08-21 10:00","7.0","3.75","1.12","2.12"
"2021-08-21 11:00","10.93","5.45","1.71","3.77"
"2021-08-21 12:00","25.38","12.16","3.75","9.47"
"2021-08-21 13:00","23.93","11.8","3.88","8.24"
"2021-08-21 14:00","24.63","11.52","3.83","9.27"
"2021-08-21 15:00","24.76","11.0","3.78","9.97"
"2021-08-21 16:00","25.35","11.3","3.57","10.48"
"2021-08-21 17:00","25.0","10.85","4.05","10.1"
"2021-08-21 18:00","25.64","11.12","3.37","11.15"
"2021-08-21 19:00","25.39","10.68","3.59","11.12"
"2021-08-21 20:00","26.2","10.98","3.76","11.46"
"2021-08-21 21:00","26.0","11.14","3.52","11.34"
"2021-08-21 22:00","26.75","11.5","3.62","11.63"
"2021-08-21 23:00","26.09","11.0","3.45","11.63"
"2021-08-22 00:00","26.57","11.3","3.74","11.54"
"2021-08-22 01:00","26.6","11.3","3.79","11.5"
"2021-08-22 02:00","24.59","10.61","3.66","10.32"
"2021-08-22 03:00","23.79","11.14","4.34","8.31"
"2021-08-22 04:00","19.4","9.2","4.17","6.04"
"2021-08-22 05:00","7.28","3.71","1.47","2.09"
"2021-08-22 06:00","7.76","4.11","1.79","1.86"
"2021-08-22 07:00","8.32","3.78","1.64","2.91"
"2021-08-22 08:00","6.79","3.73","1.11","1.94"
"2021-08-22 09:00","6.34","3.54","1.02","1.78"
"2021-08-22 10:00","7.09","3.82","1.13","2.14"
"2021-08-22 11:00","6.8","3.78","1.13","1.89"
"2021-08-22 12:00","7.17","3.79","1.13","2.26"
"2021-08-22 13:00","12.56","6.56","2.44","3.56"
"2021-08-22 14:00","22.79","11.27","3.76","7.76"
"2021-08-22 15:00","23.46","10.23","4.17","9.06"
"2021-08-22 16:00","20.27","9.91","2.82","7.54"
"2021-08-22 17:00","18.18","10.1","1.96","6.12"
"2021-08-22 18:00","21.39","10.81","1.96","8.62"
"2021-08-22 19:00","21.31","10.59","2.0","8.72"
"2021-08-22 20:00","19.97","10.33","1.97","7.67"
"2021-08-22 21:00","20.17","10.47","1.99","7.71"
"2021-08-22 22:00","19.72","10.72","2.05","6.95"
"2021-08-22 23:00","17.62","10.57","1.95","5.1"
"2021-08-23 00:00","19.88","11.07","1.95","6.86"
"2021-08-23 01:00","21.55","10.91","1.98","8.67"
"2021-08-23 02:00","14.95","7.94","1.66","5.35"
"2021-08-23 03:00","6.54","3.57","1.22","1.75"
"2021-08-23 04:00","6.99","3.66","1.11","2.23"
"2021-08-23 05:00","6.89","3.79","1.48","1.61"
